row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
5,-1002663161975271786,Remarks on Conservation at a Breakfast in Portland Saluting the Northwest-Southwest Power Transmission Intertie,Lyndon B. Johnson,1964-09-17,less for all the children of america than what i was privileged to have as a boy in the book of matthew it says the floods came and the winds blew and beat upon that house and it fell not for it was founded upon a rock the house of america is founded upon our land and if we keep that whole then the storm can rage but the house,Matthew 7:25,"And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon a rock.",0.879270409393551,TRUE,,0.9
17,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,they represent the peace that was born today has a meaning that comes down to us through many years or generations even centuries in ancient days god promised abraham that from his seed would come many nations and as you know that promise has been fulfilled yet for much too long the people of israel and the people of egypt-two of the nations of the children of abraham trusting in the same god hoping for the same peace-knew only enmity between them that time thank god is now at an end now after 30 years,Genesis 17:4,"As for me, behold, my covenant is with thee, and thou shalt be a father of many nations.",0.7992821276363974,TRUE,,0.9
19,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,in their hands and to turn history toward peace and i am thankful to them both theirs is the vision of the psalmist who said behold how good and how pleasant it is for brethren to dwell together in unity but this is an achievement not just of leaders but of peoples strong and creative peoples proud of past heritage and present achievements and wise,Psalms 133:1,"Behold, how good and how pleasant it is for brethren to dwell together in unity!",0.9826081015906418,TRUE,,1.0
21,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,we pray for that time and we shall continue to work for that time this is a season of renewal when the earth brings forth life the koran tells us of a prophet and a king of israel for whom god's power made the violent wind blow tamely the old testament tells us the words of that same king the words of king solomon david's son for every thing there is a season and a time to every purpose under the heaven for centuries the people of israel were dispersed around the world often despised and persecuted for centuries the people of egypt suffered under foreign domination only in the past generation have these two proud and ancient peoples again become independent nations but that generation to use the words of king solomon has also been a time to die to pluck up that which was planted a time to kill a time of breaking down a time to mourn a time of weeping a time to lose a time to hate and a time for war we pray that the season of weeping is past and to continue the words of that same king that now will come a time to heal a time to plant a time to build up a time to laugh a time to dance a time to embrace a time to love we pray to god that at last the children of abraham have come to a time of peace and now,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.9861323219715212,TRUE,,0.95
26,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,these two proud and ancient peoples again become independent nations but that generation to use the words of king solomon has also been a time to die to pluck up that which was planted a time to kill a time of breaking down a time to mourn a time of weeping a time to lose a time to hate and a time for war we pray that the season of weeping is past and to continue the words of that same king that now will come a time to heal a time to plant a time to build up a time to laugh a time to dance a time to embrace a time to love we pray to god that at last the children of abraham have come to a time of peace and now i would like to propose,Ecclesiastes 3:2,"A time to be born, and a time to die; a time to plant, and a time to pluck up that which was planted",0.9247415066336758,TRUE,,1.0
26,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,these two proud and ancient peoples again become independent nations but that generation to use the words of king solomon has also been a time to die to pluck up that which was planted a time to kill a time of breaking down a time to mourn a time of weeping a time to lose a time to hate and a time for war we pray that the season of weeping is past and to continue the words of that same king that now will come a time to heal a time to plant a time to build up a time to laugh a time to dance a time to embrace a time to love we pray to god that at last the children of abraham have come to a time of peace and now i would like to propose,Ecclesiastes 3:3,"A time to kill, and a time to heal; a time to break down, and a time to build up",0.9247415066336758,TRUE,,1.0
26,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,these two proud and ancient peoples again become independent nations but that generation to use the words of king solomon has also been a time to die to pluck up that which was planted a time to kill a time of breaking down a time to mourn a time of weeping a time to lose a time to hate and a time for war we pray that the season of weeping is past and to continue the words of that same king that now will come a time to heal a time to plant a time to build up a time to laugh a time to dance a time to embrace a time to love we pray to god that at last the children of abraham have come to a time of peace and now i would like to propose,Ecclesiastes 3:4,"A time to weep, and a time to laugh; a time to mourn, and a time to dance",0.9247415066336758,TRUE,,1.0
27,-1010521977041331713,Toasts at a State Dinner Honoring President Sadat and Prime Minister Begin on the Occasion of the Egyptian-Israeli Peace Treaty,Jimmy Carter,1979-03-26,these two proud and ancient peoples again become independent nations but that generation to use the words of king solomon has also been a time to die to pluck up that which was planted a time to kill a time of breaking down a time to mourn a time of weeping a time to lose a time to hate and a time for war we pray that the season of weeping is past and to continue the words of that same king that now will come a time to heal a time to plant a time to build up a time to laugh a time to dance a time to embrace a time to love we pray to god that at last the children of abraham have come to a time of peace and now i would like to propose a toast to the president of the arab republic of egypt anwar al-sadat and to the prime minister of the,Ecclesiastes 3:8,"A time to love, and a time to hate; a time of war, and a time of peace.",0.8810212826930346,TRUE,,1.0
32,-1024786889828551589,Remarks at the National Prayer Breakfast,Barack Obama,2011-02-03,is not what other people say about us but whether we're being true to our conscience and true to our god seek first his kingdom and his righteousness and all these things will be given to you as well as i travel across the country folks often ask me what is it that i pray,Matthew 6:33,"But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you.",0.9459934179141803,TRUE,,0.95
38,-1024786889828551589,Remarks at the National Prayer Breakfast,Barack Obama,2011-02-03,the sins of the world that we most desperately seek to touch the face of god so my prayer this morning is that we might seek his face not only in those moments but each and every day that every day as we go through the hustle and bustle of our lives whether it's in,1 Chronicles 16:11,"Seek the LORD and his strength, seek his face continually.",0.1401457564117171,TRUE,,0.9
44,-1024786889828551589,Remarks at the National Prayer Breakfast,Barack Obama,2011-02-03,we might remember kaye the fact that those who wait on the lord will soar on wings like eagles and they will run and not be weary and they will walk and not faint when i wake in the morning i wait on the lord and i ask him to give me the strength to do right by our country,Isaiah 40:31,"But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",0.9409563470351778,TRUE,,0.95
59,-103733848765411322,"Remarks at ""Christmas in Washington""",Barack Obama,2012-12-09,or a shelter or protecting our freedom on a battlefield far from home let's keep them in our prayers and follow christ's calling to love one another as he has loved all of us merry christmas everybody god bless you and god bless these united states of america note the president spoke at 7:37 p.m,John 15:12,"This is my commandment, That ye love one another, as I have loved you.",0.5286980142969637,TRUE,,0.9
94,-1071414240191368109,"Address to the 41st Session of the United Nations General Assembly in New York, New York",Ronald Reagan,1986-09-22,the united nations-devotion to the dream of world peace and freedom of human rights and democratic self-determination of a time when in those ancient words and they shall beat their swords into plowshares nation shall not lift up sword against nation neither shall they learn war anymore the united states remains committed to the united nations for over 40 years this organization has provided an international forum for harmonizing conflicting,Isaiah 2:4,"And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.",0.6233737038287894,TRUE,,0.9
95,-1071414240191368109,"Address to the 41st Session of the United Nations General Assembly in New York, New York",Ronald Reagan,1986-09-22,the united nations-devotion to the dream of world peace and freedom of human rights and democratic self-determination of a time when in those ancient words and they shall beat their swords into plowshares nation shall not lift up sword against nation neither shall they learn war anymore the united states remains committed to the united nations for over 40 years this organization has provided an international forum for harmonizing conflicting,Micah 4:3,"And he shall judge among many people, and rebuke strong nations afar off; and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up a sword against nation, neither shall they learn war any more.",0.7431319753195382,TRUE,,0.9
101,-1080003787313149710,"Remarks at Andrews Air Force Base, Maryland, on the Shootings at the Capitol",William J. Clinton,1998-07-25,that justice is pursued meanwhile i would ask all americans to reflect for a moment on the human elements of yesterday's tragedy the scripture says greater love hath no man than this that he lay down his life for his friends officer jacob j.j chestnut and detective john gibson laid down their lives for their friends their coworkers and their fellow citizens those whom they,John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",0.9838150755225236,TRUE,,1.0
106,-1085039065213600499,Remarks on Presenting the Presidential Medal of Freedom,Barack Obama,2011-02-15,in the truest sense of the word a man who not only dedicated his life to others but who lived that lesson of scripture greater love hath no man than this that a man lay down his life for his friends yo-yo ma has been a concert cellist since the age of 5 despite being a late bloomer laughter he went on to record over,John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",0.9682737120695416,TRUE,,0.95
118,-1093941082132531235,The President's Weekly Address,Barack Obama,2010-12-25,a child who devoted his life to a message of peace love and redemption a message that says no matter who we are we are called to love one another we are our brother's keeper we are our sister's keeper our separate stories in this big and busy world are really one today we're also,John 15:17,"These things I command you, that ye love one another.",0.5726829697626529,TRUE,,0.8
139,-1124450693448602147,Remarks at the New York City Partnership Luncheon in New York,Ronald Reagan,1982-01-14,answer is nothing then the next question is what am i going to do about that tomorrow the bible talks of faith hope and charity and the greatest of these is charity the real meaning of the parable of the good samaritan has always been not so much the benefit that was done to the,1 Corinthians 13:13,"And now abideth faith, hope, charity, these three; but the greatest of these is charity.",0.9350100540741052,TRUE,,0.95
