row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
1,-1107325017409872860,Inaugural Address,James Madison,1809-03-04,the most scrupulous impartiality if there be candor in the world the truth of these assertions will not be questioned posterity at least will do justice to them this unexceptionable course could not avail against the injustice and violence of the belligerent powers in their rage against each other or,Psalms 82:3,Defend the poor and fatherless: do justice to the afflicted and needy.,0.5260620028530145,MAYBE,,0.6
5,-128964626329009304,Inaugural Address,Thomas Jefferson,1805-03-04,revenue thereby liberated may by a just repartition of it among the states and a corresponding amendment of the constitution be applied in time of peace to rivers canals roads arts manufactures education and other great objects within each state in time of war if injustice by ourselves or others must sometimes produce war increased as the same revenue will be by increased population and consumption and aided by other,Ecclesiastes 3:8,"A time to love, and a time to hate; a time of war, and a time of peace.",0.5193614721199818,MAYBE,,0.6
6,-128964626329009304,Inaugural Address,Thomas Jefferson,1805-03-04,the first place to the reflecting character of our citizens at large who by the weight of public opinion influence and strengthen the public measures it is due to the sound discretion with which they select from among themselves those to whom they confide the legislative duties it is due to the zeal and wisdom of the characters thus selected who lay the foundations of public happiness in wholesome laws the execution of which alone remains for others and it is due to the able and faithful auxiliaries whose patriotism has associated them with me in the executive functions during this course of administration and,Proverbs 3:27,"Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.",0.8024499858182936,MAYBE,,0.4
9,-1322320758065844339,Inaugural Address,James K. Polk,1845-03-04,of omnipotence to sustain and direct me in the path of duty which i am appointed to pursue i stand in the presence of this assembled multitude of my countrymen to take upon myself the solemn obligation to the best of my ability to preserve protect and defend the constitution of the united states a,Psalms 94:19,In the multitude of my thoughts within me thy comforts delight my soul.,0.820974836946219,MAYBE,,0.4
14,-1858053004762547073,Inaugural Address,James Monroe,1821-03-04,us to seek redress in a spirit of amity in full confidence that injuring none none would knowingly injure us for more imminent dangers we should be prepared and it should always be recollected that such preparation adapted to the circumstances and sanctioned by the judgment and wishes of our,Luke 1:71,"That we should be saved from our enemies, and from the hand of all that hate us;",0.9054058561619515,MAYBE,,0.6
16,-1906139303585963582,Inaugural Address,Thomas Jefferson,1801-03-04,patronage of your good will i advance with obedience to the work ready to retire from it whenever you become sensible how much better choice it is in your power to make and may that infinite power which rules the destinies of the universe lead our councils to what is best and give them a,Proverbs 3:27,"Withhold not good from them to whom it is due, when it is in the power of thine hand to do it.",0.13516971478527834,MAYBE,,0.6
18,-200502926244766227,Inaugural Address,William Henry Harrison,1841-03-04,its honor against foreign aggression for the defense of those principles for which our ancestors so gloriously contended as far as it depends upon me it shall be accomplished all the influence that i possess shall be exerted to prevent the formation at least of an executive party in the halls of the legislative body,Job 15:32,"It shall be accomplished before his time, and his branch shall not be green.",0.22524021438595676,MAYBE,,0.4
20,-2109834506675146163,Inaugural Address,Benjamin Harrison,1889-03-04,be the unfailing defense and security of those who respect and observe them and that neither wealth station nor the power of combinations shall be able to evade their just penalties or to wrest them from a beneficent public purpose to serve the ends of cruelty or selfishness my promise,Revelation 6:17,For the great day of his wrath is come; and who shall be able to stand?,0.3185550857842391,MAYBE,,0.6
21,-2109834506675146163,Inaugural Address,Benjamin Harrison,1889-03-04,has severed the only safe bond of social order and prosperity the evil works from a bad center both ways it demoralizes those who practice it and destroys the faith of those who suffer by it in the efficiency of the law as a safe protector the man in whose breast that faith has been darkened is naturally the subject of dangerous and uncanny suggestions those who use unlawful methods if moved by no higher motive than the selfishness that,1 Timothy 3:9,Holding the mystery of the faith in a pure conscience.,0.2742865610020228,MAYBE,,0.4
23,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,in a short span of years the next man to stand here will look out on a scene that is different from our own ours is a time of change--rapid and fantastic change--bearing the secrets of nature multiplying the nations placing in uncertain hands new weapons for mastery and destruction shaking old values and uprooting,Ecclesiastes 3:8,"A time to love, and a time to hate; a time of war, and a time of peace.",0.5260147733600146,MAYBE,,0.6
24,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,of nature multiplying the nations placing in uncertain hands new weapons for mastery and destruction shaking old values and uprooting old ways our destiny in the midst of change will rest on the unchanged character of our people and on their faith the american covenant they came here--the exile and,Psalms 74:12,"For God is my King of old, working salvation in the midst of the earth.",0.19911948980814762,MAYBE,,0.4
26,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,land of learning and scholars young people must be taught to read and write for more than 30 years that i have served this nation i have believed that this injustice to our people this waste of our resources was our real enemy for 30 years or more with the resources i have had i,Psalms 119:66,Teach me good judgment and knowledge: for I have believed thy commandments.,0.42379057645534174,MAYBE,,0.6
27,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,there are possibilities enough for all who will abandon mastery over others to pursue mastery over nature there is world enough for all to seek their happiness in their own way our nation's course is abundantly clear we aspire to nothing that belongs to others we seek no dominion over our fellow man but man's,Acts 14:16,Who in times past suffered all nations to walk in their own ways.,0.6680257121715287,MAYBE,,0.6
31,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,dreams they will lead you best of all for myself i ask only in the words of an ancient leader give me now wisdom and knowledge that i may go out and come in before this people for who can judge this thy people that is so great as delivered,Colossians 2:3,In whom are hid all the treasures of wisdom and knowledge.,0.5032118110465504,MAYBE,,0.6
32,-2150133743765216859,The President's Inaugural Address,Lyndon B. Johnson,1965-01-20,dreams they will lead you best of all for myself i ask only in the words of an ancient leader give me now wisdom and knowledge that i may go,Psalms 119:125,"I am thy servant; give me understanding, that I may know thy testimonies.",0.3269604131961647,MAYBE,,0.7
35,-2589058431102249925,Inaugural Address,William Howard Taft,1909-03-04,out with great force and striking language the necessity for maintaining a strong navy commensurate with the coast line the governmental resources and the foreign trade of our nation and i wish to reiterate all the reasons which he has presented in favor of the policy of maintaining a strong navy as the best conservator,Luke 7:5,"For he loveth our nation, and he hath built us a synagogue.",0.14505937815065412,MAYBE,,0.6
37,-2589058431102249925,Inaugural Address,William Howard Taft,1909-03-04,legislation we may and ought to place in the hands of the federal executive the means of enforcing the treaty rights of such aliens in the courts of the federal government it puts our government in a pusillanimous position to make definite engagements to protect aliens and then to excuse the failure to perform those,Psalms 92:13,Those that be planted in the house of the LORD shall flourish in the courts of our God.,0.2822411347599571,MAYBE,,0.6
39,-3275452875170033651,Inaugural Address,Warren G. Harding,1921-03-04,ambiguity and we saw that effaced in a baptism of sacrifice and blood with union maintained the nation supreme and its concord inspiring we have seen the world rivet its hopeful gaze on the great truths on which the founders wrought we have seen civil human and religious liberty verified and glorified in the beginning the old world scoffed at our experiment today our foundations of political and social belief,1 John 4:14,And we have seen and do testify that the Father sent the Son to be the Saviour of the world.,0.49477250590313887,MAYBE,,0.4
43,-3275452875170033651,Inaugural Address,Warren G. Harding,1921-03-04,these i am unafraid and confidently face the future i have taken the solemn oath of office on that passage of holy writ wherein it is asked what doth the lord require of thee but to do justly and to love mercy and to walk humbly with thy god this i plight to god and country app note the use of builded as the past,Deuteronomy 10:12,"And now, Israel, what doth the LORD thy God require of thee, but to fear the LORD thy God, to walk in all his ways, and to love him, and to serve the LORD thy God with all thy heart and with all thy soul,",0.8361034341476677,MAYBE,,0.6
46,-3345053572730721352,Third Inaugural Address.,Franklin D. Roosevelt,1941-01-20,nation in lincoln's day the task of the people was to preserve that nation from disruption from within in this day the task of the people is to save that nation and its institutions from disruption from without to us there has come a time in the midst of swift happenings to pause for a,Matthew 18:11,For the Son of man is come to save that which was lost.,0.661175808471131,MAYBE,,0.6
47,-3345053572730721352,Third Inaugural Address.,Franklin D. Roosevelt,1941-01-20,quickly boldly decisively these later years have been living years-fruitful years for the people of this democracy for they have brought to us greater security and i hope a better understanding that life's ideals are to be measured in other than material things most vital to our present and to our future is this experience,Lamentations 3:21,"This I recall to my mind, therefore have I hope.",0.10415599233452373,MAYBE,,0.7
