row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
1,-2549089191515030947,"Remarks at the Democratic National Convention in Philadelphia, Pennsylvania",Barack Obama,2016-07-27,best organizers on the planet and i am so proud of all the change that you made possible time and again you've picked me up and i hope sometimes i picked you up too and tonight i ask you to do for hillary clinton what you did for me i ask you to carry her the same way you carried me because you're who i was talking about 12 years ago when i talked about hope it's been you who fueled my dogged faith in our future even when the odds were great even when the road is long hope in the face of difficulty hope in the face of uncertainty the audacity of hope america you've vindicated that hope these past 8 years and now i'm ready to pass the baton and do my part as a private citizen so this year in this,Romans 15:13,"Now the God of hope fill you with all joy and peace in believing, that ye may abound in hope, through the power of the Holy Ghost.",0.3700172701756204,TRUE,,0.8
5,-2637217560801882114,Remarks Accepting the Presidential Nomination at the 1980 Democratic National Convention in New York,Jimmy Carter,1980-08-14,better life and we've worked in every way possible to strengthen the american family to encourage self-reliance and to follow the old testament admonition defend the poor and the fatherless give justice to the afflicted and needy we've struggled to assure that no child in america ever goes to bed hungry that no elderly couple,Job 29:12,"Because I delivered the poor that cried, and the fatherless, and him that had none to help him.",0.1179798873105811,TRUE,,0.9
6,-2637217560801882114,Remarks Accepting the Presidential Nomination at the 1980 Democratic National Convention in New York,Jimmy Carter,1980-08-14,better life and we've worked in every way possible to strengthen the american family to encourage self-reliance and to follow the old testament admonition defend the poor and the fatherless give justice to the afflicted and needy we've struggled to assure that no child in america ever goes to bed hungry that no elderly couple in america has to live,Psalms 82:3,Defend the poor and fatherless: do justice to the afflicted and needy.,0.9743563798273916,TRUE,,0.95
9,-3313241348509904468,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1952-07-26,let this cup pass from me but from such dreaded responsibility one does not shrink in fear in self-interest or in false humility so if this cup may not pass from me except i drink it thy will be done that my heart has been troubled that i have not sought this nomination that i could not seek it in good conscience that i would,Matthew 26:42,"He went away again the second time, and prayed, saying, O my Father, if this cup may not pass away from me, except I drink it, thy will be done.",0.8842546157287808,TRUE,,0.9
13,-3313241348509904468,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1952-07-26,the presidency of the united states and now my friends that you have made your decision i will fight to win that office with with all my heart and my soul and with your help i have no doubt that we will win you have summoned me to the highest mission within the gift of,Psalms 86:12,"I will praise thee, O Lord my God, with all my heart: and I will glorify thy name for evermore.",0.1044315654719435,TRUE,,0.9
16,-4333099003742366978,"Address Accepting the Presidential Nomination at the Republican National Convention in Milwaukee, Wisconsin",Donald J. Trump (1st Term),2024-07-18,stampeding many lives were saved but that isn't the reason that they didn't move the reason is that they knew i was in very serious trouble they saw it they saw me go down they saw the blood and thought actually most did that i was dead they knew it was a shot to the,Psalms 48:5,"They saw it, and so they marvelled; they were troubled, and hasted away.",0.7804812903597254,TRUE,,0.9
23,-4547597677340786385,"Address Accepting the Presidential Nomination at the Republican National Convention in Tampa, Florida",Mitt Romney,2012-08-30,world uniting to save the world from unspeakable darkness everywhere i go in america there are monuments that list those who have given their lives for america there is no mention of their race their party affiliation or what they did for a living they lived and died under a,Acts 15:26,Men that have hazarded their lives for the name of our Lord Jesus Christ.,0.8805722919182799,TRUE,,0.9
26,-4576756534201300837,"Acceptance Speech for the Renomination for the Presidency, Philadelphia, Pa.",Franklin D. Roosevelt,1936-06-27,other generations much is expected this generation of americans has a rendezvous with destiny in this world of ours in other lands there are some people who in times past have lived and fought for freedom and seem to have grown too weary to carry on the fight they have sold their heritage of freedom,Acts 14:16,Who in times past suffered all nations to walk in their own ways.,0.6147283688999993,TRUE,,0.8
29,-5814526318160213500,Address Accepting the Presidential Nomination at the Democratic National Convention in Boston,John F. Kerry,2004-07-29,be strong strength is more than tough words after decades of experience in national security i know the reach of our power and i know the power of our ideals we need to make america once again a beacon in the world we need to be looked up to and not just feared we need,Ephesians 6:10,"Finally, my brethren, be strong in the Lord, and in the power of his might.",0.5168124173018749,TRUE,,0.8
32,-5814526318160213500,Address Accepting the Presidential Nomination at the Democratic National Convention in Boston,John F. Kerry,2004-07-29,who has something to contribute will be left on the sidelines and let me say it plainly in that cause and in this campaign we welcome people of faith america is not us and them i think of what ron reagan said of his father a few weeks ago and i want to say this to you tonight i don't wear my own faith on my sleeve but faith has given me values and hope to live by from vietnam to this day from sunday to sunday i don't want to claim that god is on our side as abraham lincoln told us i want to pray humbly that we are on god's side and whatever our faith one belief should bind us all the measure of our character is our willingness to give of ourselves for others and for our country these aren't democratic,Ephesians 6:23,"Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.",0.73328511806303,TRUE,,0.8
34,-5963076272810236371,"Address Accepting the Presidential Nomination at the Democratic National Convention in Miami Beach, Florida",George McGovern,1972-07-14,not expect special favors for themselves but a better land for us all in the literature and music of our children we are told to everything there is a season and a time to every purpose under heaven and for america the time has come at last this is the time for truth not falsehood in a democratic nation no,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.987655351024313,TRUE,,0.95
44,-6600013859976777219,Address Accepting the Presidential Nomination at the Republican National Convention in Saint Paul,John McCain,2008-09-04,rescued us from a defeat that would have demoralized our military risked a wider war and threatened the security of all americans applause i don't mind a good fight for reasons known only to god i've had quite a few tough ones in my life but i learned an important lesson along the way in,2 Timothy 4:7,"I have fought a good fight, I have finished my course, I have kept the faith:",0.5100717588702243,TRUE,,0.9
46,-6600013859976777219,Address Accepting the Presidential Nomination at the Republican National Convention in Saint Paul,John McCain,2008-09-04,have more choices to make for yourself applause i will keep taxes low and cut them where i can my opponent will raise them i will open audience boos i will open new markets to our goods and services my opponent will close them audience boos i will cut government spending he will increase it,Psalms 78:2,I will open my mouth in a parable: I will utter dark sayings of old:,0.309827602482734,TRUE,,0.7
49,-6600013859976777219,Address Accepting the Presidential Nomination at the Republican National Convention in Saint Paul,John McCain,2008-09-04,it finally a word to senator obama and his supporters we'll go at it over the next two months that's the nature of these contests and there are big differences between us but you have my respect and admiration despite our differences much more unites us than divides us we are fellow americans an association,1 Corinthians 12:5,"And there are differences of administrations, but the same Lord.",0.1647393300544155,TRUE,,0.8
53,-7564295484451923944,Address Accepting the Presidential Nomination at the Democratic National Convention in San Francisco,Walter F. Mondale,1984-07-19,helped me learn and grow so tonight we come to you with a new realism ready for the future and recapturing the best in our tradition we know that america must have a strong defense and a sober view of the soviets we know that government must be as well-managed as it is well-meaning we know that a healthy growing private economy is the key to the future we know that harry truman spoke the truth when he said a president has to be able to say yes and no but mostly no look at,1 Timothy 1:8,"But we know that the law is good, if a man use it lawfully;",0.10335411530356585,TRUE,,0.8
55,-7564295484451923944,Address Accepting the Presidential Nomination at the Democratic National Convention in San Francisco,Walter F. Mondale,1984-07-19,want to talk to young people about their future and whatever their race whatever their religion whatever their sex i want to hear some of them say what i say with joy and reverence tonight i want to be president of the united states thank you very much walter f mondale address accepting the presidential,Mark 13:37,"And what I say unto you I say unto all, Watch.",0.10155837797961487,TRUE,,0.7
56,-8060801153083776022,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1956-08-17,"a personality cult what this country needs is leadership and truth and that is what we mean to give it what is the truth the truth is that the republican party is a house divided the truth is that president eisenhower cynically coveted as a candidate but ignored as a leader is largely indebted to democrats in congress for what accomplishments he can claim the truth is that we are not all prosperous the truth is that the farmer especially the family farmer who matters most has not had his fair share of the national income and the republicans have done nothing to help him-until an election year the truth is that 30 million americans live today in families trying to make ends meet on less than 2,000 dollars a year the truth is that the small farmer the small businessman the teacher the white collar worker the retired citizen trying to pay today's prices on yesterday's pension-all these are in serious trouble the truth is that in this government of big men-big financially-no one speaks for the little man the truth is not that our policy has the communists on the run the truth unhappily is not-in the republican president's words-that our prestige since the last war has never been as high as it is this day the truth is that it has probably never been lower the truth is that we are losing the military advantage the economic initiative and the moral leadership the truth is not that we are winning the cold war the truth is that we are losing the cold war now don't misunderstand me i for one am ready to acknowledge the sincerity of the republican president's desire for",1 John 1:8,"If we say that we have no sin, we deceive ourselves, and the truth is not in us.",0.5263059017348537,TRUE,,0.9
59,-8060801153083776022,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1956-08-17,that the old terrible grinding anxieties of daily bread shelter and raiment are disappearing i say that with leadership democratic leadership we can do justice to our children we can repair the ravages of time and neglect to our schools we can and we will i say that with leadership,Psalms 82:3,Defend the poor and fatherless: do justice to the afflicted and needy.,0.17369668134557148,TRUE,,0.7
61,-8060801153083776022,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1956-08-17,man i say that we must reclaim these great christian and humane ideas we must dare to say again that the american cause is the cause of all mankind if we are to make honest citizens of our hearts we must unite them again to the ideals in which they have always believed and give,Proverbs 31:8,Open thy mouth for the dumb in the cause of all such as are appointed to destruction.,0.2980079289709692,TRUE,,0.7
66,1317073426232968588,Keynote Address at the 2004 Democratic National Convention,Barack Obama,2004-07-27,us defending the united states of america in the end that's what this election is about do we participate in a politics of cynicism or a politics of hope john kerry calls on us to hope john edwards calls on us to hope i'm not talking about blind optimism here the almost willful ignorance that thinks unemployment will go away if we just don't talk about it or the health care crisis will solve itself if we just ignore it no i'm talking about something more substantial it's the hope of slaves sitting around a fire singing freedom songs the hope of immigrants setting out for distant shores the hope of a young naval lieutenant bravely patrolling the mekong delta the hope of a millworker's son who dares to defy the odds the hope of a skinny kid with a funny name who believes that america has a place for him too the audacity of hope in the end that is god's greatest gift to us the bedrock of this nation the belief in things not seen the belief that there are better days ahead,Psalms 39:7,"And now, Lord, what wait I for? my hope is in thee.",0.25195542421822464,TRUE,,0.9
67,1649342743337746420,Address Accepting the Presidential Nomination at the Republican National Convention in Chicago,Dwight D. Eisenhower,1952-07-11,every attack it has always been my practice to seek out our men in their camps and on the roads and talk with them face to face about their concerns and discuss with them the great mission to which we were all committed in this battle to which all of us are now committed it will be my practice to meet and talk with americans face to face in every section every corner every nook and cranny of this land i know that such a momentous campaign cannot be won by a few or by,Deuteronomy 5:4,"The LORD talked with you face to face in the mount out of the midst of the fire,",0.31247500413506846,TRUE,,0.8
