row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
1,-1203687397665810827,Remarks at a Memorial Service for Les Aspin,William J. Clinton,1995-06-13,is of profound importance to the future of this country then he agreed to serve on the armed services commission on roles and missions he did all these things no matter what else was going on in his life no matter what had happened to him with incredible good humor and grace and passionate devotion,Acts 10:8,"And when he had declared all these things unto them, he sent them to Joppa.",0.17945152339913856,MAYBE,,0.6
8,-2141490764954689120,"Eulogy at the Funeral Service for Senator Robert C. Byrd in Charleston, West Virginia",Barack Obama,2010-07-02,bond that he had with you the people of his state transplanted to washington his heart remained here in west virginia in the place that shaped him with the people he loved his heart belonged to you making life better here was his only agenda giving you hope he said was his greatest achievement hope,Psalms 119:2,"Blessed are they that keep his testimonies, and that seek him with the whole heart.",0.4337517154290153,MAYBE,,0.6
10,-2459368655502000200,Remarks at a Memorial Service for Lane Kirkland,William J. Clinton,1999-09-23,of working people to march on washington but for years the most powerful force in his own home was a little dachshund named stanley he was a man of idealism and strong opinions but he was genuinely open to people who had the courage to differ with him he was a gifted intellectual but on sunday afternoons he put his books aside to watch the redskins on tv he was a man of the arts whose perhaps favorite artistry was his harmonica rendition of solidarity forever for all of his contrasts there was a remarkable consistency underlying everything he thought,Proverbs 24:5,"A wise man is strong; yea, a man of knowledge increaseth strength.",0.3060184046697477,MAYBE,,0.6
11,-3448565620485865135,Eulogy at the Funeral Service for Senator Daniel K. Inouye,Barack Obama,2012-12-21,the cathedral there's a side of danny that-well laughter danny once told his son his service to this country had been for the children for all the sons and daughters who deserve to grow up in a nation that never questioned their patriotism this is my country he said many of us have fought hard for the right to say that and obviously ric shinseki described what it meant for japanese americans but my point is is that when he referred to our sons and daughters he wasn't just talking about japanese americans he was talking about all of us he was talking about those who serve today who might,2 Chronicles 24:3,And Jehoiada took for him two wives; and he begat sons and daughters.,0.14021598616069972,MAYBE,,0.7
12,-4521121809102702944,"Remarks at the Memorial Service for William Maurice Smith, Jr., in Wynne, Arkansas",William J. Clinton,1998-12-05,all right god has promised you mercy because you were merciful to us kindness because you were kind to us forgiveness because you forgave us love because you loved us with all your heart so farewell old friend i say to you what you said to me so many years ago it'll be all right,Jude 1:2,"Mercy unto you, and peace, and love, be multiplied.",0.6285698184254491,MAYBE,,0.6
15,-4784766702564519970,Remarks at a Memorial Service for Former President Shimon Peres of Israel in Jerusalem,Barack Obama,2016-09-30,state of israel this is the story of the jewish people over the last century and it was made possible by a founding generation that counts shimon as one of its own shimon once said that the message of the jewish people to mankind is that faith and moral vision can triumph over all adversity,Genesis 49:16,"Dan shall judge his people, as one of the tribes of Israel.",0.7107384279886474,MAYBE,,0.4
20,-4784766702564519970,Remarks at a Memorial Service for Former President Shimon Peres of Israel in Jerusalem,Barack Obama,2016-09-30,that he believed in us even when we doubted ourselves scripture tells us that before his death moses said i call upon heaven and earth to bear witness this day that i have set before you life and death blessing and curse therefore choose life that you and your offspring may live uvacharta bachayim choose,John 1:8,"He was not that Light, but was sent to bear witness of that Light.",0.20418952179385533,MAYBE,,0.6
26,-5415448926812710891,Eulogy at a Memorial Service for Former President Jimmy Carter,"Joseph R. Biden, Jr.",2025-01-09,spoke and wrote about faith as a substance of things hoped for and evidence of the things not seen faith founded on commandments of scripture love the lord thy god with all thy heart and all thy mind and all thy soul and love thy neighbor as thyself easy to say but very very difficult to do in his life-in this life any walk of,Deuteronomy 30:6,"And the LORD thy God will circumcise thine heart, and the heart of thy seed, to love the LORD thy God with all thine heart, and with all thy soul, that thou mayest live.",0.7608250580685906,MAYBE,,0.7
27,-5415448926812710891,Eulogy at a Memorial Service for Former President Jimmy Carter,"Joseph R. Biden, Jr.",2025-01-09,spoke and wrote about faith as a substance of things hoped for and evidence of the things not seen faith founded on commandments of scripture love the lord thy god with all thy heart and all thy mind and all thy soul and love thy neighbor as thyself easy to say but very very difficult to do in his life-in this life any walk of faith can be difficult it,Deuteronomy 6:5,"And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might.",0.7569219075374194,MAYBE,,0.6
32,-5415448926812710891,Eulogy at a Memorial Service for Former President Jimmy Carter,"Joseph R. Biden, Jr.",2025-01-09,thy soul and love thy neighbor as thyself easy to say but very very difficult to do in his life-in this life any walk of faith can be difficult it can be lonely but it requires action to be the doers of the world but in that commandment lies the essence in my view found in the gospel found in many faith traditions and found in the very idea of america because the very journey of our nation is a walk of sheer faith to do the work to be the country we say we are to be the country we say we want to be a nation where all,1 Corinthians 2:5,"That your faith should not stand in the wisdom of men, but in the power of God.",0.31971181469297805,MAYBE,,0.6
