row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
1,-1041033696879656844,"Proclamation 5846—National Civil Rights Day, 1988",Ronald Reagan,1988-08-19,given their lives to secure civil rights for all americans in witness whereof i have hereunto set my hand this twelfth day of august in the year of our lord nineteen hundred and eighty-eight and,Acts 15:26,Men that have hazarded their lives for the name of our Lord Jesus Christ.,0.5330272888431162,MAYBE,,0.6
2,-1048553770591981702,"Proclamation 9596—Jewish American Heritage Month, 2017",Donald J. Trump (1st Term),2017-04-28,"who first immigrated in 1654 seeking refuge and religious liberty brought with them their families their religion and their cherished customs which they have passed on from generation to generation the moral and ethical code of the jewish people is inspired by their spiritual vocation of tikkun olam""-the charge to repair the world through that",Joel 3:20,"But Judah shall dwell for ever, and Jerusalem from generation to generation.",0.1484961352090933,MAYBE,,0.7
3,-1048553770591981702,"Proclamation 9596—Jewish American Heritage Month, 2017",Donald J. Trump (1st Term),2017-04-28,"who first immigrated in 1654 seeking refuge and religious liberty brought with them their families their religion and their cherished customs which they have passed on from generation to generation the moral and ethical code of the jewish people is inspired by their spiritual vocation of tikkun olam""-the charge to repair the world through that",Luke 1:50,And his mercy is on them that fear him from generation to generation.,0.6787357028442099,MAYBE,,0.4
6,-1081633232120241660,"Proclamation 2629—Thanksgiving Day, 1944",Franklin D. Roosevelt,1944-11-01,resolution of the congress approved december 26 1941 do hereby proclaim thursday the twenty-third day of november 1944 a day of national thanksgiving and i call upon the people of,Psalms 116:17,"I will offer to thee the sacrifice of thanksgiving, and will call upon the name of the LORD.",0.1160213852939768,MAYBE,,0.4
12,-1161678172023162552,"Proclamation 9770—National Korean War Veterans Armistice Day, 2018",Donald J. Trump (1st Term),2018-07-26,as national korean war veterans armistice day i call upon all americans to observe this day with appropriate ceremonies and activities that honor and give thanks to our distinguished korean war veterans in witness whereof i have hereunto set my hand this twenty-sixth day of july in the year of our lord two thousand eighteen,Colossians 1:3,"We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,",0.2107108241157093,MAYBE,,0.4
17,-1223833900654392854,"Proclamation 4136—Prayer for Peace, Memorial Day, 1972",Richard Nixon,1972-05-19,means but also on him who maketh wars to cease unto the end of the earth who in scripture has commanded us be still and know that i am god in recognition of this deep national reliance upon divine guidance and care the congress by a joint resolution approved may 11 1950 has requested the,Ezekiel 30:19,Thus will I execute judgments in Egypt: and they shall know that I am the LORD.,0.8425984955917498,MAYBE,,0.6
18,-1223833900654392854,"Proclamation 4136—Prayer for Peace, Memorial Day, 1972",Richard Nixon,1972-05-19,means but also on him who maketh wars to cease unto the end of the earth who in scripture has commanded us be still and know that i am god in recognition of this deep national reliance upon divine guidance and care the congress by a joint resolution approved may 11 1950 has requested the,Ezekiel 39:22,So the house of Israel shall know that I am the LORD their God from that day and forward.,0.3397704000299725,MAYBE,,0.4
22,-1323907455629041784,"Proclamation 5767—National Day of Prayer, 1988",Ronald Reagan,1988-02-03,the first step-humble heartfelt prayer let us do so for the love of god and his great goodness in search of his guidance and the grace of repentance in seeking his blessings his peace and the resting of his kind and holy hands on ourselves our nation our friends in,1 Corinthians 16:23,The grace of our Lord Jesus Christ be with you.,0.4982541572249861,MAYBE,,0.6
23,-1323907455629041784,"Proclamation 5767—National Day of Prayer, 1988",Ronald Reagan,1988-02-03,the first step-humble heartfelt prayer let us do so for the love of god and his great goodness in search of his guidance and the grace of repentance in seeking his blessings his peace and the resting of his kind and holy hands on ourselves our nation our friends in the defense of freedom and,2 Corinthians 8:1,"Moreover, brethren, we do you to wit of the grace of God bestowed on the churches of Macedonia;",0.7084115119913619,MAYBE,,0.7
24,-1323907455629041784,"Proclamation 5767—National Day of Prayer, 1988",Ronald Reagan,1988-02-03,the first step-humble heartfelt prayer let us do so for the love of god and his great goodness in search of his guidance and the grace of repentance in seeking his blessings his peace and the resting of his kind and holy hands on ourselves our nation our friends in the defense of freedom and,John 1:16,"And of his fulness have all we received, and grace for grace.",0.5117711671200792,MAYBE,,0.4
