row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
5,-1081633232120241660,"Proclamation 2629—Thanksgiving Day, 1944",Franklin D. Roosevelt,1944-11-01,of our allies to his children in other lands for the preservation of our way of life from the threat of destruction for the unity of spirit which has kept our nation strong for our abiding faith in freedom and for the promise of an enduring peace we should lift up our hearts in thanksgiving,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.6710344746473687,TRUE,,0.8
8,-1107585303959355901,"Proclamation 6548—Nancy Moore Thurmond National Organ and Tissue Donor Awareness Week, 1993",William J. Clinton,1993-04-23,what the donation of organs can mean in the history of medicine few advances have been more awe-inspiring than successful organ and tissue transplants in recent years we have seen the miracle of terminally ill patients receiving a second chance at life with a new heart liver lung or kidney we have seen children with leukemia regain their health through bone marrow transplants we have witnessed the restoration of sight to the blind through new corneas and we have seen thousands of americans resuming normal lives after receiving a transplanted organ or tissue but many others still wait and many die waiting for a suitable,Acts 4:20,For we cannot but speak the things which we have seen and heard.,0.1217370856478401,TRUE,,0.8
9,-1110713600037520375,"Proclamation 5126—National Family Week, 1983",Ronald Reagan,1983-11-04,observe this week with appropriate ceremonies and activities during a week in which we will also observe thanksgiving day i especially invite all americans to give thanks for the family relationships with which we have been blessed in witness whereof i have hereunto set my hand this 4th day of november in the year of,1 Thessalonians 5:18,In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,0.8382237863768273,TRUE,,0.9
10,-1110713600037520375,"Proclamation 5126—National Family Week, 1983",Ronald Reagan,1983-11-04,observe this week with appropriate ceremonies and activities during a week in which we will also observe thanksgiving day i especially invite all americans to give thanks for the family relationships with which we have been blessed in witness whereof i have hereunto set my hand this 4th day of november in the year of,Ephesians 1:16,"Cease not to give thanks for you, making mention of you in my prayers;",0.735254787305107,TRUE,,0.8
16,-1223833900654392854,"Proclamation 4136—Prayer for Peace, Memorial Day, 1972",Richard Nixon,1972-05-19,where aggression left us no choice we shall press on in that pursuit relying not alone on human ways and means but also on him who maketh wars to cease unto the end of the earth who in scripture has commanded us be still and know that i am god in recognition of this deep national reliance upon divine guidance,Psalms 46:9,"He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariot in the fire.",0.9298481848516812,TRUE,,1.0
19,-1252475385431496415,"Proclamation 9063—Thanksgiving Day, 2013",Barack Obama,2013-11-26,those less fortunate this thanksgiving day let us forge deeper connections with our loved ones let us extend our gratitude and our compassion and let us lift each other up and recognize in the oldest spirit of this tradition that we rise or fall as one nation under god now,Lamentations 3:41,Let us lift up our heart with our hands unto God in the heavens.,0.9360331822809076,TRUE,,0.9
25,-1337862071066372914,"Proclamation 8558—National Days of Prayer and Remembrance, 2010",Barack Obama,2010-09-10,of national tragedy we relied upon the strength and resilience that has marked the pages of american history many americans turned to god and lifted up their fellow americans in prayer on these solemn days let us remember that from the destruction of that morning we came together as a,Luke 17:13,"And they lifted up their voices, and said, Jesus, Master, have mercy on us.",0.4901013802205653,TRUE,,0.8
26,-1337862071066372914,"Proclamation 8558—National Days of Prayer and Remembrance, 2010",Barack Obama,2010-09-10,of national tragedy we relied upon the strength and resilience that has marked the pages of american history many americans turned to god and lifted up their fellow americans in prayer on these solemn days let us remember that from the destruction of that morning we came together as a,Numbers 14:1,"And all the congregation lifted up their voice, and cried; and the people wept that night.",0.2361529267077491,TRUE,,0.7
27,-1339721657448148269,"Proclamation 6110—National Agriculture Day, 1990",George Bush,1990-03-20,rest this is worth remembering each day and especially on national agriculture day today we give thanks not only for the bountiful harvests that bring our daily bread but also for the courageous and industrious men and women who reap them now therefore i george bush president of the united states of america by virtue,Luke 11:3,Give us day by day our daily bread.,0.9277196171210386,TRUE,,0.9
28,-1339721657448148269,"Proclamation 6110—National Agriculture Day, 1990",George Bush,1990-03-20,rest this is worth remembering each day and especially on national agriculture day today we give thanks not only for the bountiful harvests that bring our daily bread but also for the courageous and industrious men and women who reap them now therefore i george bush president of the united states of america by virtue,Matthew 6:11,Give us this day our daily bread.,0.9643356699493438,TRUE,,0.95
32,-1382727171024561777,"Proclamation 7170—Women's History Month, 1999",William J. Clinton,1999-03-01,century ago an editorial in the pittsburgh dispatch opposing women's suffrage and criticizing women in the work force so infuriated a young reader that she wrote a letter in protest her articulate response prompted the newspaper's editor to offer her a job and thus elizabeth cochrane-later known as nellie bly-began her career in journalism a,Acts 23:25,And he wrote a letter after this manner:,0.8769945639992256,TRUE,,0.9
43,-1417333437969695319,"Proclamation 9441—National Day of Prayer, 2016",Barack Obama,2016-05-04,wisdom gained from humble prayer to spread kindness and to make our world a better place faith communities at home and abroad have helped feed the hungry heal the sick and protect innocents from violence nurturing communities with love and understanding their prayer inspires their work which embodies a timeless notion that has kept humanity,Luke 9:2,"And he sent them to preach the kingdom of God, and to heal the sick.",0.7545038194395984,TRUE,,0.8
47,-1484328504423867855,"Proclamation 3252—National Day of Prayer, 1958",Dwight D. Eisenhower,1958-08-01,our fathers trusted in god and they were not confounded believing that all men are endowed by their creator with certain unalienable rights they conquered the wilderness built homes charted,Psalms 22:4,"Our fathers trusted in thee: they trusted, and thou didst deliver them.",0.9658775414753696,TRUE,,0.9
48,-1484328504423867855,"Proclamation 3252—National Day of Prayer, 1958",Dwight D. Eisenhower,1958-08-01,our fathers trusted in god and they were not confounded believing that all men are endowed by their creator with certain unalienable rights they conquered the wilderness built homes charted the course of free institutions,Psalms 22:5,"They cried unto thee, and were delivered: they trusted in thee, and were not confounded.",0.8272505789220939,TRUE,,0.9
56,-1484328504423867855,"Proclamation 3252—National Day of Prayer, 1958",Dwight D. Eisenhower,1958-08-01,distant lands and that we may strive to alleviate hunger eradicate disease and advance the well-being of our neighbors fourth that we may be saved from blinding pride and from any act hurtful to the concord of free nations joined in building a just and durable peace under the guiding,Luke 1:71,"That we should be saved from our enemies, and from the hand of all that hate us;",0.3591781397849303,TRUE,,0.8
58,-1495718612019033155,"Proclamation 3617—National Day of Prayer, 1964",Lyndon B. Johnson,1964-09-22,suitable day each year other than a sunday as a national day of prayer on which the people of the united states may turn to god in prayer and meditation at churches in groups and as individuals now therefore i lyndon b johnson president of the united states of america do set aside and proclaim,Colossians 4:2,"Continue in prayer, and watch in the same with thanksgiving;",0.1617763960411378,TRUE,,0.8
60,-1515983272177645065,"Proclamation 9050—National Alzheimer's Disease Awareness Month, 2013",Barack Obama,2013-10-31,for them sharing their loved ones emotional physical and financial strains this month we honor their compassion remember those we have lost and press toward the next great scientific breakthrough now therefore i barack obama president of the united states of america by virtue of the authority vested in me,Philippians 3:14,I press toward the mark for the prize of the high calling of God in Christ Jesus.,0.2081267186694881,TRUE,,0.9
65,-1608629593617141419,"Proclamation 5597—Martin Luther King, Jr., Day, 1987",Ronald Reagan,1987-01-09,love of neighbor recorded in holy writ he frequently prayed in the words of the prophet amos let justice roll down like waters and righteousness like a mighty stream dr king also appealed clearly and compellingly through moving accounts such as his description of a little girl marching with her mother who answered a policeman's,Amos 5:24,"But let judgment run down as waters, and righteousness as a mighty stream.",0.9391798575764764,TRUE,,0.95
66,-1608629593617141419,"Proclamation 5597—Martin Luther King, Jr., Day, 1987",Ronald Reagan,1987-01-09,that land but added i may not get there with you he concluded i'm happy tonight i'm not worried about anything i'm not fearing any man mine eyes have seen the glory of the coming of the lord nearly five years before dr king had spoken words of solace of reconciliation and of promise during,Luke 2:30,"For mine eyes have seen thy salvation,",0.4627611185910342,TRUE,,0.9
68,-163754585653000498,"Proclamation 8756—National Family Week, 2011",Barack Obama,2011-11-18,a difference in the lives of our veterans and military families as we gather with our loved ones this holiday season let us pause to give thanks to all those who share in the trials and triumphs of our lives our families illuminate our days and bring meaning to our years and their love has,1 Thessalonians 1:2,"We give thanks to God always for you all, making mention of you in our prayers;",0.6859220006092966,TRUE,,0.8
71,-1706508358023674763,"Proclamation 7779—Loyalty Day, 2004",George W. Bush,2004-04-30,families of those deployed with basic family needs such as home repairs financial planning and child care by supporting our troops and their families citizens are making a difference in their communities and showing loyalty to our country through their patriotism america's citizens are also demonstrating their loyalty to our nation through volunteer service in,Jude 1:22,"And of some have compassion, making a difference:",0.1112410074244201,TRUE,,0.9
76,-1730928693114198526,"Proclamation 6991—National Day of Prayer, 1997",William J. Clinton,1997-04-18,through the centuries today within our nation's capitol building a stained glass window depicts general washington humbly kneeling and repeating the words of the 16th psalm preserve me o god for in thee do i put my trust as we face the last years of the 20th century let us uphold the tradition of observing a day in which every american in his or her,Psalms 16:1,"Preserve me, O God: for in thee do I put my trust.",0.6602257896474628,TRUE,,0.9
78,-1730928693114198526,"Proclamation 6991—National Day of Prayer, 1997",William J. Clinton,1997-04-18,stained glass window depicts general washington humbly kneeling and repeating the words of the 16th psalm preserve me o god for in thee do i put my trust as we face the last years of the 20th century let us uphold the tradition of observing a day in which every american in his or her,Psalms 31:1,"In thee, O LORD, do I put my trust; let me never be ashamed: deliver me in thy righteousness.",0.612512365564181,TRUE,,0.9
79,-1730928693114198526,"Proclamation 6991—National Day of Prayer, 1997",William J. Clinton,1997-04-18,stained glass window depicts general washington humbly kneeling and repeating the words of the 16th psalm preserve me o god for in thee do i put my trust as we face the last years of the 20th century let us uphold the tradition of observing a day in which every american in his or her,Psalms 71:1,"In thee, O LORD, do I put my trust: let me never be put to confusion.",0.3029518647341574,TRUE,,0.8
80,-1730928693114198526,"Proclamation 6991—National Day of Prayer, 1997",William J. Clinton,1997-04-18,psalm preserve me o god for in thee do i put my trust as we face the last years of the 20th century let us uphold the tradition of observing a day in which every,Psalms 38:15,"For in thee, O LORD, do I hope: thou wilt hear, O Lord my God.",0.5350872733863674,TRUE,,0.9
85,-1777785171603127802,"Proclamation 4379—National Day of Prayer, 1975",Gerald R. Ford,1975-06-12,the many blessings granted to america throughout these two centuries and let us express the hope that our lives may continue to be enriched by the grace of our maker now therefore i gerald r ford president of the united states of america do hereby proclaim thursday july 24 1975 as national day of prayer,1 Corinthians 16:23,The grace of our Lord Jesus Christ be with you.,0.3850745271595882,TRUE,,0.8
87,-1808626928340295217,"Proclamation 3940—National Day of Prayer, 1969",Richard Nixon,1969-10-08,john adams was the first president to live in the executive residence we call the white house his first night there he wrote a letter to his wife abigail in which he said before i end my letter i pray heaven to bestow the best of blessings on this house,Acts 23:25,And he wrote a letter after this manner:,0.8280359430390015,TRUE,,0.9
92,-1864127711851437061,"Proclamation 10649—Indigenous Peoples' Day, 2023","Joseph R. Biden, Jr.",2023-10-06,as well as a source of incredible contributions indigenous peoples and tribal nations continue to practice their cultures remember their heritages and pass down their histories from generation to generation they steward this country's lands and waters and grow crops that feed all of us they serve in the united states military at a higher,Joel 3:20,"But Judah shall dwell for ever, and Jerusalem from generation to generation.",0.1752989808369688,TRUE,,0.7
97,-1927155052055695429,Proclamation 2651—Victory in Europe: Day of Prayer,Harry S Truman,1945-05-08,we have won and for its promise to peoples everywhere who join us in the love of freedom it is fitting that we as a nation give thanks to almighty god who has strengthened us and given us the victory now therefore i harry s truman president of the united states of america do hereby appoint sunday may 13 1945 to be a day of prayer i call upon the people of the united states whatever their faith to unite in offering joyful thanks to god for the victory we have won and to pray that he will support us to the end of our present struggle and guide us,1 Thessalonians 1:2,"We give thanks to God always for you all, making mention of you in our prayers;",0.5203374480961686,TRUE,,0.9
99,-1927155052055695429,Proclamation 2651—Victory in Europe: Day of Prayer,Harry S Truman,1945-05-08,who join us in the love of freedom it is fitting that we as a nation give thanks to almighty god who has strengthened us and given us the victory now therefore i harry s truman president of the united states of america do hereby appoint sunday may 13 1945 to be a day of,1 Corinthians 15:57,"But thanks be to God, which giveth us the victory through our Lord Jesus Christ.",0.6453381616337917,TRUE,,0.9
104,-195021542407315539,Proclamation 2602—Day of Prayer,Franklin D. Roosevelt,1943-12-03,crowned their efforts with brilliant success on every battle front it is fitting that we set aside a day of prayer to give thanks to almighty god for his constant providence over us in every hour of national peace and national peril at the beginning of the new year 1944 which now lies before us,2 Corinthians 9:15,Thanks be unto God for his unspeakable gift.,0.9087903238772768,TRUE,,0.9
106,-195021542407315539,Proclamation 2602—Day of Prayer,Franklin D. Roosevelt,1943-12-03,in our hearts those of us who walk in the familiar paths of home those who fight on the wide battlefields of the world those who go down to the sea in ships and those who rise in the air on wings in witness whereof i have hereunto set my hand and caused the seal of the united states of,Psalms 107:23,"They that go down to the sea in ships, that do business in great waters;",0.2738980273657965,TRUE,,0.9
109,-1958707941306501862,"Proclamation 6444—Flag Day and National Flag Week, 1992",George Bush,1992-06-10,author francis bellamy had hoped it would be an ageless creed that embodies the fundamental idea of patriotic citizenship comprehending in broadest lines the spirit of our history and the deepest aim of our national life when we recite the pledge and promise our allegiance to this one nation under god indivisible with liberty and justice for all we reaffirm both the unity of our people and what president eisenhower aptly described as the transcendence of religious faith in america's heritage and future as the pledge of allegiance states so eloquently we americans believe in almighty god the source of all life and liberty we believe in the inherent and unalienable rights and dignity of each human being and we believe in equal opportunity as,Job 33:4,"The spirit of God hath made me, and the breath of the Almighty hath given me life.",0.4465024394554581,TRUE,,0.8
115,-2015222060694642808,"Proclamation 10027—National Day of Prayer, 2020",Donald J. Trump (1st Term),2020-05-06,of religious liberty today we join together and lift up our hearts remembering the words of 1 john 5:14 that tell us when we ask anything according to his will he hears us from our earliest days our dependence upon god has brought us to seek his divine counsel and unfailing wisdom our leaders have,1 John 5:14,"And this is the confidence that we have in him, that, if we ask any thing according to his will, he heareth us:",0.8363146995645896,TRUE,,1.0
118,-2015222060694642808,"Proclamation 10027—National Day of Prayer, 2020",Donald J. Trump (1st Term),2020-05-06,americans that through trust in him we can overcome all obstacles may we never forget that prayer guides and empowers our nation and that all things are possible with god in times of prosperity strife peace and war americans lean on his infinite love grace and understanding today on this national day of prayer let,Luke 18:27,"And he said, The things which are impossible with men are possible with God.",0.5362793131568568,TRUE,,0.9
127,-2192073955943490412,"Proclamation 8374—National Day of Prayer, 2009",Barack Obama,2009-05-07,times as we observe this day of prayer we remember the one law that binds all great religions together the golden rule and its call to love one another to understand one another and to treat with dignity and respect those with whom we share a brief moment on this earth the congress by public,Hebrews 10:24,And let us consider one another to provoke unto love and to good works:,0.364456017342312,TRUE,,0.8
128,-2192073955943490412,"Proclamation 8374—National Day of Prayer, 2009",Barack Obama,2009-05-07,times as we observe this day of prayer we remember the one law that binds all great religions together the golden rule and its call to love one another to understand one another and to treat with dignity and respect those with whom we share a brief moment on this earth the congress by public,John 15:17,"These things I command you, that ye love one another.",0.1563079048315608,TRUE,,0.9
134,-2244855790161687123,"Proclamation 10314—Thanksgiving Day, 2021","Joseph R. Biden, Jr.",2021-11-24,do hereby proclaim thursday november 25 2021 as a national day of thanksgiving i encourage the people of the united states of america to join together and give thanks for the friends neighbors family members and strangers who have supported each other over the past year in a reflection of goodwill and unity in witness,Ephesians 1:16,"Cease not to give thanks for you, making mention of you in my prayers;",0.8863529215585211,TRUE,,0.9
136,-2247174988378573216,"Proclamation 4883—Thanksgiving Day, 1981",Ronald Reagan,1981-11-12,has provided a harvest of plenty to this nation throughout its history in keeping with america's heritage one day each year is set aside for giving thanks to god for all of his blessings on this day of thanksgiving it is appropriate that we recall the first thanksgiving celebrated in the autumn of 1621 after,1 Thessalonians 1:2,"We give thanks to God always for you all, making mention of you in our prayers;",0.4145290335874403,TRUE,,0.8
143,-2326878502230334340,"Proclamation 5509—Let Freedom Ring Day, 1986",Ronald Reagan,1986-07-02,the joyful clamor of bells let every spire and belfry in the land ring out the glad tidings of liberty once again let every american rejoice in the blessings of freedom as they hear the jubilant music of carillons carried on the night air as the golden glow of the statue of liberty's rekindled torch,Philippians 4:4,"Rejoice in the Lord alway: and again I say, Rejoice.",0.9379622217055494,TRUE,,0.9
144,-2345123003626209684,"Proclamation 10696—Martin Luther King, Jr., Federal Holiday, 2024","Joseph R. Biden, Jr.",2024-01-12,to believe that history had already been written and division would be our nation's destiny but dr king rejected that outcome he heard scripture's command to do justice love mercy and walk humbly he clung to the declaration of independence's promise of equality for all people dr king's mission was a moral one from bridges,Proverbs 21:3,To do justice and judgment is more acceptable to the LORD than sacrifice.,0.4427930795881392,TRUE,,0.9
149,-243545718405438167,Proclamation 3627—Thanksgiving Day,Lyndon B. Johnson,1964-11-13,three and one-half centuries let us appoint a special day on which all of us in keeping with the dictates of our own conscience will give thanks to the lord for his manifold blessings and on that day let us rededicate ourselves to meeting the challenges of the present with the fortitude and faith with,Psalms 136:3,O give thanks to the Lord of lords: for his mercy endureth for ever.,0.5946797834650251,TRUE,,0.9
