row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
6,-2637217560801882114,Remarks Accepting the Presidential Nomination at the 1980 Democratic National Convention in New York,Jimmy Carter,1980-08-14,better life and we've worked in every way possible to strengthen the american family to encourage self-reliance and to follow the old testament admonition defend the poor and the fatherless give justice to the afflicted and needy we've struggled to assure that no child in america ever goes to bed hungry that no elderly couple in america has to live,Psalms 82:3,Defend the poor and fatherless: do justice to the afflicted and needy.,0.9743563798273916,TRUE,,0.95
9,-3313241348509904468,Address Accepting the Presidential Nomination at the Democratic National Convention in Chicago,Adlai Stevenson,1952-07-26,let this cup pass from me but from such dreaded responsibility one does not shrink in fear in self-interest or in false humility so if this cup may not pass from me except i drink it thy will be done that my heart has been troubled that i have not sought this nomination that i could not seek it in good conscience that i would,Matthew 26:42,"He went away again the second time, and prayed, saying, O my Father, if this cup may not pass away from me, except I drink it, thy will be done.",0.8842546157287808,TRUE,,0.9
34,-5963076272810236371,"Address Accepting the Presidential Nomination at the Democratic National Convention in Miami Beach, Florida",George McGovern,1972-07-14,not expect special favors for themselves but a better land for us all in the literature and music of our children we are told to everything there is a season and a time to every purpose under heaven and for america the time has come at last this is the time for truth not falsehood in a democratic nation no,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.987655351024313,TRUE,,0.95
89,266254602762176443,Remarks Before the National Convention Upon Accepting the Nomination,Lyndon B. Johnson,1964-08-27,and the hand of affection and love to the old and the sick and the hungry for who among us dares to betray the command thou shalt open thine hand--unto thy brother to thy poor and to thy needy in thy land the needs that we seek to fill the hopes that we seek to realize are not our needs our hopes alone they are,Deuteronomy 15:11,"For the poor shall never cease out of the land: therefore I command thee, saying, Thou shalt open thine hand wide unto thy brother, to thy poor, and to thy needy, in thy land.",0.98676068618996,TRUE,,0.95
109,3395399589381407482,Address at the Cow Palace on Accepting the Nomination of the Republican National Convention,Dwight D. Eisenhower,1956-08-23,a common ideal in a peaceful world lincoln speaking to the republican state convention in 1858 began with the biblical quotation a house divided against itself cannot stand today the world is a house divided but--as is sometimes forgotten--lincoln followed this quotation with a note of hope for his troubled,Mark 3:24-25,"And if a kingdom be divided against itself, that kingdom cannot stand. And if a house be divided against itself, that house cannot stand.",0.9949049955417142,TRUE,,1.0
120,4553822539039808115,"Address Accepting the Democratic Nomination for President at the Memorial Coliseum in Los Angeles, California",John F. Kennedy,1960-07-15,call is to the young in heart regardless of age-to the stout in spirit regardless of party-to all who respond to the scriptural call be strong and of good courage be not afraid neither be dismayed for courage not complacency is our need today leadership not salesmanship and the only valid test of leadership is the ability to lead and,Joshua 1:9,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.",0.7837906084663381,TRUE,,0.9
122,4553822539039808115,"Address Accepting the Democratic Nomination for President at the Memorial Coliseum in Los Angeles, California",John F. Kennedy,1960-07-15,and homes across the united states give me your help and your hand and your voice recall with me the words of isaiah they that wait upon the lord shall renew their strength they shall mount up with wings as eagles they shall run and not be weary as we face the coming great challenge we too shall wait upon the lord and ask that he renew our strength then shall we be equal to the test then we shall not be weary then we shall prevail thank you note this text draws on the transcript published in the new york times app corrections and edits are based on reviewing,Isaiah 40:31,"But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",0.9820385411364382,TRUE,,1.0
128,5739769271305216365,Address Accepting the Presidential Nomination at the Democratic National Convention in Atlanta,Michael S. Dukakis,1988-07-21,idea of community an idea that was planted in the new world by the first governor of massachusetts we must said john winthrop love one another with a pure heart fervently we must delight in each other make each other's condition our own rejoice together mourn together and suffer together we must he said be,1 Peter 1:22,"Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently:",0.4370620297381537,TRUE,,0.9
150,7791885381442261116,Address Accepting the Presidential Nomination at the Democratic National Convention in New York,William J. Clinton,1992-07-16,and degrades the american tradition of seeing and seeking a better future he mocks it as the vision thing but just remember what the scripture says where there is no vision the people perish i hope nobody in this great hall tonight or in our beloved country has to go through tomorrow without a vision i hope no one ever tries to raise a child without a vision i hope nobody ever starts a business or plants a crop in the ground without a vision for where there is no vision the people perish one of the reasons we have so many children in so much trouble in so many places in this nation is because they have seen so little opportunity so little responsibility so little loving caring community that they literally cannot imagine the life we are calling them to lead and so i say again where there is no vision america will perish what is the vision of our new covenant an america with millions of new jobs and dozens of new industries moving confidently toward the,Proverbs 29:18,"Where there is no vision, the people perish: but he that keepeth the law, happy is he.",0.7869899819650854,TRUE,,0.9
155,7979987358394002819,Remarks Accepting the Presidential Nomination at the Republican National Convention in New York City,George W. Bush,2004-09-02,of this has confirmed one belief beyond doubt having come this far our tested and confident nation can achieve anything to everything we know there is a season a time for sadness a time for struggle a time for rebuilding and now we have reached a time for hope this young century will be liberty's,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.33476775230462585,TRUE,,0.9
