row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
16,-1223833900654392854,"Proclamation 4136—Prayer for Peace, Memorial Day, 1972",Richard Nixon,1972-05-19,where aggression left us no choice we shall press on in that pursuit relying not alone on human ways and means but also on him who maketh wars to cease unto the end of the earth who in scripture has commanded us be still and know that i am god in recognition of this deep national reliance upon divine guidance,Psalms 46:9,"He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariot in the fire.",0.9298481848516812,TRUE,,1.0
16,-1223833900654392854,"Proclamation 4136—Prayer for Peace, Memorial Day, 1972",Richard Nixon,1972-05-19,where aggression left us no choice we shall press on in that pursuit relying not alone on human ways and means but also on him who maketh wars to cease unto the end of the earth who in scripture has commanded us be still and know that i am god in recognition of this deep national reliance upon divine guidance,Psalms 46:10,"Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.",0.9298481848516812,TRUE,,1.0
27,-1339721657448148269,"Proclamation 6110—National Agriculture Day, 1990",George Bush,1990-03-20,rest this is worth remembering each day and especially on national agriculture day today we give thanks not only for the bountiful harvests that bring our daily bread but also for the courageous and industrious men and women who reap them now therefore i george bush president of the united states of america by virtue,Luke 11:3,Give us day by day our daily bread.,0.9277196171210386,TRUE,,0.9
65,-1608629593617141419,"Proclamation 5597—Martin Luther King, Jr., Day, 1987",Ronald Reagan,1987-01-09,love of neighbor recorded in holy writ he frequently prayed in the words of the prophet amos let justice roll down like waters and righteousness like a mighty stream dr king also appealed clearly and compellingly through moving accounts such as his description of a little girl marching with her mother who answered a policeman's,Amos 5:24,"But let judgment run down as waters, and righteousness as a mighty stream.",0.9391798575764764,TRUE,,0.95
66,-1608629593617141419,"Proclamation 5597—Martin Luther King, Jr., Day, 1987",Ronald Reagan,1987-01-09,that land but added i may not get there with you he concluded i'm happy tonight i'm not worried about anything i'm not fearing any man mine eyes have seen the glory of the coming of the lord nearly five years before dr king had spoken words of solace of reconciliation and of promise during,Luke 2:30,"For mine eyes have seen thy salvation,",0.4627611185910342,TRUE,,0.9
76,-1730928693114198526,"Proclamation 6991—National Day of Prayer, 1997",William J. Clinton,1997-04-18,through the centuries today within our nation's capitol building a stained glass window depicts general washington humbly kneeling and repeating the words of the 16th psalm preserve me o god for in thee do i put my trust as we face the last years of the 20th century let us uphold the tradition of observing a day in which every american in his or her,Psalms 16:1,"Preserve me, O God: for in thee do I put my trust.",0.6602257896474628,TRUE,,0.9
115,-2015222060694642808,"Proclamation 10027—National Day of Prayer, 2020",Donald J. Trump (1st Term),2020-05-06,of religious liberty today we join together and lift up our hearts remembering the words of 1 john 5:14 that tell us when we ask anything according to his will he hears us from our earliest days our dependence upon god has brought us to seek his divine counsel and unfailing wisdom our leaders have,1 John 5:14,"And this is the confidence that we have in him, that, if we ask any thing according to his will, he heareth us:",0.8363146995645896,TRUE,,1.0
118,-2015222060694642808,"Proclamation 10027—National Day of Prayer, 2020",Donald J. Trump (1st Term),2020-05-06,americans that through trust in him we can overcome all obstacles may we never forget that prayer guides and empowers our nation and that all things are possible with god in times of prosperity strife peace and war americans lean on his infinite love grace and understanding today on this national day of prayer let,Luke 18:27,"And he said, The things which are impossible with men are possible with God.",0.5362793131568568,TRUE,,0.9
127,-2192073955943490412,"Proclamation 8374—National Day of Prayer, 2009",Barack Obama,2009-05-07,times as we observe this day of prayer we remember the one law that binds all great religions together the golden rule and its call to love one another to understand one another and to treat with dignity and respect those with whom we share a brief moment on this earth the congress by public,Matthew 7:12,"Therefore all things whatsoever ye would that men should do to you, do ye even so to them: for this is the law and the prophets.",0.364456017342312,TRUE,,0.8
144,-2345123003626209684,"Proclamation 10696—Martin Luther King, Jr., Federal Holiday, 2024","Joseph R. Biden, Jr.",2024-01-12,to believe that history had already been written and division would be our nation's destiny but dr king rejected that outcome he heard scripture's command to do justice love mercy and walk humbly he clung to the declaration of independence's promise of equality for all people dr king's mission was a moral one from bridges,Micah 6:8,"He hath shewed thee, O man, what is good; and what doth the LORD require of thee, but to do justly, and to love mercy, and to walk humbly with thy God?",0.4427930795881392,TRUE,,0.9
191,-285878305771813617,"Proclamation 6448—Father's Day, 1992",George Bush,1992-06-17,surprising that we are reminded that the fourth commandment given to man by god is the first with a promise honor your father and your mother that it may be well with you and that you may live long on the earth this injunction might readily apply to nations as well as to individuals--each of us should honor not only our own moms and dads,Ephesians 6:2,Honour thy father and mother; which is the first commandment with promise;,0.9817658672074788,TRUE,,0.95
199,-3050155075829649776,"Proclamation 6355—National Children's Day, 1991",George Bush,1991-10-11,childhood and reaffirm our commitment to helping every american youngster to enjoy the best possible start in life as it is written in scripture train up a child in the way that he should go and when he is old he will not depart from it the congress by senate joint resolution 126 has designated the second sunday in october 1991 as national children's day and has authorized and requested,Proverbs 22:6,"Train up a child in the way he should go: and when he is old, he will not depart from it.",0.5551865275084994,TRUE,,1.0
218,-3224053434859910131,"Proclamation 3436—National Day of Prayer, 1961",John F. Kennedy,1961-09-28,at their best in their day as the responsible trustees of the great heritage which has come to us from those who went before us for a spirit of wisdom and understanding as we move toward new frontiers of cooperation and brotherhood to overcome the curse of hunger of ignorance of superstition and of disease,Isaiah 11:2,"And the spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and of the fear of the LORD;",0.3540009883999571,TRUE,,0.8
220,-3224053434859910131,"Proclamation 3436—National Day of Prayer, 1961",John F. Kennedy,1961-09-28,with freedom and justice and dignity for all mankind and recognizing our own shortcomings may we be granted forgiveness and cleansing that god shall bless us and be gracious unto us and cause his face to shine upon us as we stand everyone of us on this day in his presence in witness whereof i have hereunto set my hand and caused the seal of,Psalms 67:1,"God be merciful unto us, and bless us; and cause his face to shine upon us; Selah.",0.9638631188498652,TRUE,,0.95
274,-3764859750167597628,"Proclamation 3812—National Day of Prayer, 1967",Lyndon B. Johnson,1967-10-06,st paul said in sighs too deep for words we pray that in the time of prosperity fill our hearts with thankfulness and in the day of trouble suffer not our trust in thee to fail sensible of our people's faith the congress by a joint resolution of april 17 1952 provided that the president,Romans 8:26,Likewise the Spirit also helpeth our infirmities: for we know not what we should pray for as we ought: but the Spirit itself maketh intercession for us with groanings which cannot be uttered.,0.4212538716412514,TRUE,,0.8
281,-3775825922356896606,"Proclamation 8242—National Day of Prayer, 2008",George W. Bush,2008-04-21,prayer we ask god's continued blessings on our country this year's theme prayer america's strength and shield is taken from psalm 28:7 the lord is my strength and my shield my heart trusts in him and i am helped on this day we pray for the safety of our brave men and women in uniform for their families and for the comfort and recovery of,Psalms 28:7,"The LORD is my strength and my shield; my heart trusted in him, and I am helped: therefore my heart greatly rejoiceth; and with my song will I praise him.",0.926607492500856,TRUE,,0.95
287,-3781830419370852608,"Proclamation 6421—Education and Sharing Day, U.S.A., 1992",George Bush,1992-04-14,and in religious institutions where we learn of our just and loving creator and of the commandments that he has set before us recognizing that fear of the lord is the beginning of wisdom members of the worldwide lubavitch movement under the leadership of rabbi menachem mendel schneerson have worked to promote greater knowledge of divine law including the biblical,Proverbs 9:10,The fear of the LORD is the beginning of wisdom: and the knowledge of the holy is understanding.,0.9605909596478744,TRUE,,0.95
288,-3781830419370852608,"Proclamation 6421—Education and Sharing Day, U.S.A., 1992",George Bush,1992-04-14,and in religious institutions where we learn of our just and loving creator and of the commandments that he has set before us recognizing that fear of the lord is the beginning of wisdom members of the worldwide lubavitch movement under the leadership of rabbi menachem mendel schneerson have worked to promote greater knowledge of divine law including the biblical,Psalms 111:10,The fear of the LORD is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.,0.5003278300709808,TRUE,,0.9
289,-3781830419370852608,"Proclamation 6421—Education and Sharing Day, U.S.A., 1992",George Bush,1992-04-14,menachem mendel schneerson have worked to promote greater knowledge of divine law including the biblical injunction to assist those who are needy like the psalmist who wrote thy word is a lamp to my feet and a light to my path the individual who possesses such knowledge is well-equipped for a safe and fruitful passage on his or her life's journey in recognition of the,Psalms 119:105,"Thy word is a lamp unto my feet, and a light unto my path.",0.9009846029133484,TRUE,,1.0
351,-433402906587476111,"Proclamation 10570—National Day of Prayer, 2023","Joseph R. Biden, Jr.",2023-05-03,but as fellow americans and human beings only when we see ourselves in each other will justice as scripture tells us roll down like waters righteousness become a mighty stream and america fulfill its true promise as a land of liberty and justice for all the congress by public law 100-307 as amended has called,Amos 5:24,"But let judgment run down as waters, and righteousness as a mighty stream.",0.973904849623605,TRUE,,0.95
360,-4589648609771259080,"Proclamation 6409—National Day of Prayer, 1992",George Bush,1992-03-05,trust in the steady unfailing light that is the love of god time and again scripture tells us of the constancy of the almighty indeed his kingdom is an everlasting kingdom wrote the psalmist and his dominion endures throughout all generations our ancestors trusted in the faithfulness of the almighty and they frequently turned to him in humble heartfelt prayer,Psalms 145:13," Thy kingdom is an everlasting kingdom, and thy dominion endureth throughout all generations.",0.854271343954298,TRUE,,0.9
368,-4589648609771259080,"Proclamation 6409—National Day of Prayer, 1992",George Bush,1992-03-05,word to express it each of us can echo this timeless prayer of solomon the ancient king who prayed for and received the gift of wisdom the lord our god be with us as he was with our fathers may he not leave us or forsake us so that he may incline our hearts to him to walk in all his ways that all the peoples of the earth may,1 Kings 8:57,"The LORD our God be with us, as he was with our fathers: let him not leave us, nor forsake us:",0.9913264078136798,TRUE,,0.95
368,-4589648609771259080,"Proclamation 6409—National Day of Prayer, 1992",George Bush,1992-03-05,word to express it each of us can echo this timeless prayer of solomon the ancient king who prayed for and received the gift of wisdom the lord our god be with us as he was with our fathers may he not leave us or forsake us so that he may incline our hearts to him to walk in all his ways that all the peoples of the earth may,1 Kings 8:58,"That he may incline our hearts unto him, to walk in all his ways, and to keep his commandments, and his statutes, and his judgments, which he commanded our fathers.",0.9913264078136798,TRUE,,0.95
375,-4589648609771259080,"Proclamation 6409—National Day of Prayer, 1992",George Bush,1992-03-05,he not leave us or forsake us so that he may incline our hearts to him to walk in all his ways that all the peoples of the earth may know that the lord is god there is no other since the approval of the joint resolution of the congress on april 17 1952 calling for the designation of a,1 Kings 8:60,"That all the people of the earth may know that the LORD is God, and that there is none else.",0.69481817073965,TRUE,,0.9
414,-5133541381695664526,"Proclamation 6088—Martin Luther King, Jr., Federal Holiday, 1990",George Bush,1990-01-09,equal that they are endowed by their creator with certain unalienable rights that among these are life liberty and the pursuit of happiness knowing that a house divided against itself cannot stand dr king devoted his life to striving for racial unity and equality in the united states he believed our nation had strayed from,Mark 3:25,"And if a house be divided against itself, that house cannot stand.",0.9594646527413992,TRUE,,0.9
