row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
7,-1218177692173877024,The President's Radio Address,William J. Clinton,1995-12-23,the birth of a child whose only shelter was the straw of a manger let us remember the words of the prince of peace who said blessed are the peacemakers we ask the blessings of this peace for everyone that is our prayer this christmas thanks for listening note the president spoke at 10:06 a.m,Matthew 5:9,Blessed are the peacemakers: for they shall be called the children of God.,0.2242586796669941,TRUE,,0.9
24,-1776086219875675,Radio Address to the Nation on the Observance of Independence Day,Ronald Reagan,1982-07-03,was born our country has been an inspiration for free men and women around the world ever since the scriptures tell us that where the spirit of the lord is there is liberty and for more than two centuries now our blessed land has grown and prospered guided by a deep faith in the almighty and an unquenchable thirst for,2 Corinthians 3:17,"Now the Lord is that Spirit: and where the Spirit of the Lord is, there is liberty.",0.855577481224826,TRUE,,0.9
32,-2390438720646775354,Radio Address to the Nation on the Congressional Agenda and the Economy,Ronald Reagan,1982-11-06,and the return of millions of americans to our country's work force that wonderful old testament book of ecclesiastes teaches us that to everything there is a season well my fellow citizens i've never believed more strongly that america is beginning a season of hope a genuine hope that springs from the vitality of the,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.8900938601425389,TRUE,,0.9
40,-2773526507934798896,The President's Radio Address,William J. Clinton,1994-05-14,dr king was killed but here the citizens of indianapolis heeded his call once again it is time for us to heed those words time to build up instead of tear down time to renew our faith in freedom and to refurbish our own democracy during the next few weeks we'll be reminded of moments,Ecclesiastes 3:3,"A time to kill, and a time to heal; a time to break down, and a time to build up;",0.1116393528780563,TRUE,,0.9
47,-2886473941426258505,The President's Radio Address,George W. Bush,2002-12-21,empire yet that single event set the direction of history and still changes millions of lives for over two millennia christmas has carried the message that god is with us and because he is with us we can always live in hope the world we live in is very different from the world of ancient bethlehem our need for that,Psalms 46:7,The LORD of hosts is with us; the God of Jacob is our refuge. Selah.,0.12110226169664089,TRUE,,0.9
50,-2958529002926015536,Radio Address to the Nation on the Strategic Defense Initiative,Ronald Reagan,1985-07-13,lives than to avenge them but another reason equally simple and compelling persuades us to its merit as the book of luke says if a strong man shall keep his court well guarded he shall live in peace well sdi our strategic defense initiative could prove crucial to guarding security,Luke 11:21,"When a strong man armed keepeth his palace, his goods are in peace:",0.8492555765873281,TRUE,,0.9
80,-512733059281759570,The President's Radio Address,George W. Bush,2005-03-26,especially those who have given their lives in freedom's cause their sacrifice is a testament to the words of scripture greater love has no man than this that a man lay down his life for his friends easter has a special meaning for the families of our men and women in uniform who miss their loved ones during the holidays,John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",0.930931644267586,TRUE,,1.0
87,-5623894638555085046,The President's Weekly Address,Donald J. Trump (1st Term),2017-10-06,men and women who risked their lives to save their fellow citizens give proof to the words of this scripture the light shines in the darkness and the darkness has not overcome it americans defied death and hatred with love and courage this week our nation remembers all the wonderful people we have lost and,John 1:5,And the light shineth in darkness; and the darkness comprehended it not.,0.8661363970494719,TRUE,,0.9
130,-7230317465430929743,Radio Address to the Nation on Tax Reform and the Situation in Nicaragua,Ronald Reagan,1985-12-14,insulted pope john paul ii also stopped radio catolica from broadcasting a letter from the pope and this beatitude blessed are those who are persecuted for righteousness sake for theirs is the kingdom of heaven the truth is these men are nothing but thugs a gang of hard-core communists to whom the word of god is a declaration of liberation,Matthew 5:10,Blessed are they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.,0.9870523626452643,TRUE,,1.0
141,-75777277824446458,Radio Address to the Nation on Christmas,Ronald Reagan,1983-12-24,celebrate christmas as the birthday of a great teacher and philosopher but to other millions of us jesus is much more he is divine living assurance that god so loved the world he gave us his only begotten son so that by believing in him and learning to love each other we could one day be together in paradise it's been said that all the,John 3:16,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.",0.905216668822341,TRUE,,0.95
182,1402570082140457795,The President's Weekly Address,Barack Obama,2014-12-25,our family will join millions across the country in celebrating the birth of jesus the birth not just of a baby in a manger but the message that has changed the world to reach out to the sick the hungry the troubled and above all else to love one another as we would be loved ourselves the first lady and we hope that this holiday season will be a chance for us to live out,1 John 3:11,"For this is the message that ye heard from the beginning, that we should love one another.",0.16489355928847188,TRUE,,0.9
183,1402570082140457795,The President's Weekly Address,Barack Obama,2014-12-25,baby in a manger but the message that has changed the world to reach out to the sick the hungry the troubled and above all else to love one another as we would be loved ourselves the first lady and we hope that this holiday season will be a chance for us to live out,John 15:12,"This is my commandment, That ye love one another, as I have loved you.",0.2508267730485628,TRUE,,0.9
185,1420230114945570904,Radio Address to the Nation on American International Broadcasting,Ronald Reagan,1983-09-10,mistake as kal 007 the soviets are terrified of the truth they understand well and they dread the meaning of st john's words you will know the truth and the truth will set you free the truth is mankind's best hope for a better world that's why in times like this few assets are more,John 8:32,"And ye shall know the truth, and the truth shall make you free.",0.7312533132901463,TRUE,,1.0
186,1432019741834363868,Radio Address to the Nation on Education,Ronald Reagan,1983-04-30,and at the federal level we must make sure we have put our children first and that their education is a top priority train up a child in the way he should go solomon wrote and when he is old he will not depart from it well that's the god-given responsibility of each parent and the trust of every child it is a compact between generations we must be sure,Proverbs 22:6,"Train up a child in the way he should go: and when he is old, he will not depart from it.",0.9784580786946463,TRUE,,0.95
200,2898354306031791885,Radio Address to the Nation on Family Values,Ronald Reagan,1986-12-20,of one still night long ago and of a family-father mother and newborn child listen for a moment to the words of the scriptures and there were in the same country shepherds abiding in the field keeping watch over their flock by night and lo the angel of the lord came upon them and the glory of the lord shone round about them and they,Luke 2:8,"And there were in the same country shepherds abiding in the field, keeping watch over their flock by night.",0.8973956123018769,TRUE,,0.95
201,2898354306031791885,Radio Address to the Nation on Family Values,Ronald Reagan,1986-12-20,words of the scriptures and there were in the same country shepherds abiding in the field keeping watch over their flock by night and lo the angel of the lord came upon them and the glory of the lord shone round about them and they were sore afraid and the angel said unto them fear not for behold i bring you good tidings of great joy which shall be to all people for unto you,Luke 2:9,"And, lo, the angel of the Lord came upon them, and the glory of the Lord shone round about them: and they were sore afraid.",0.9920129730122955,TRUE,,0.99
206,2898354306031791885,Radio Address to the Nation on Family Values,Ronald Reagan,1986-12-20,the angel of the lord came upon them and the glory of the lord shone round about them and they were sore afraid and the angel said unto them fear not for behold i bring you good tidings of great joy which shall be to all people for unto you is born this day in the city of david a savior which is christ the lord and this shall be,Luke 2:10,"And the angel said unto them, Fear not: for, behold, I bring you good tidings of great joy, which shall be to all people.",0.9901871009874083,TRUE,,1.0
