row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
0,-1071660925914798425,The President's Radio Address,William J. Clinton,1997-06-07,our conscience closer to the day when we can redeem for ourselves and show to the world the 220-year-old promise of our founders that we are one nation under god indivisible with liberty and justice for all thanks for listening note the address was recorded at 11:47 a.m on june,Romans 8:16,"The Spirit itself beareth witness with our spirit, that we are the children of God:",0.17065105787427295,MAYBE,,0.4
3,-1134430408932566880,The President's Weekly Address,Donald J. Trump (1st Term),2017-09-15,and its citizens in all that we do so let us pledge allegiance to our flag devote our hearts to our country and demonstrate our love for one another as americans as patriots and as the children of god thank you note the address was recorded at approximately 9:50 a.m on september 13 in the,John 15:12,"This is my commandment, That ye love one another, as I have loved you.",0.20356200870889407,MAYBE,,0.6
4,-1218177692173877024,The President's Radio Address,William J. Clinton,1995-12-23,syria will sit together in the united states to seek a way to resolve their differences and live together peacefully we're also helping to bring peace to bosnia the dayton agreement and our decision to join in the international effort to secure the peace in bosnia has given the people,Psalms 72:3,"The mountains shall bring peace to the people, and the little hills, by righteousness.",0.46737608215190246,MAYBE,,0.5
6,-1218177692173877024,The President's Radio Address,William J. Clinton,1995-12-23,the birth of a child whose only shelter was the straw of a manger let us remember the words of the prince of peace who said blessed are the peacemakers we ask the blessings of this peace for everyone that is our prayer this christmas thanks for listening note the president spoke at 10:06 a.m,Matthew 5:7,Blessed are the merciful: for they shall obtain mercy.,0.4149078867861544,MAYBE,,0.4
9,-1227879196560845904,The President's Weekly Address,Barack Obama,2013-12-25,folks from across the country have found new ways to give back to these families through their schools businesses and houses of worship the president that's the same spirit of giving that connects all of us during the holidays so many people all across the country are helping out at soup kitchens buying gifts for,1 Corinthians 12:4,"Now there are diversities of gifts, but the same Spirit.",0.6631331152980897,MAYBE,,0.4
12,-1315492983398673003,The President's Radio Address,William J. Clinton,1997-03-29,us find the strength to reach across the lines that divide us on the surface and touch the common spirit that resides in every human heart and let us also remember there are some americans who feel isolated from all of the rest of us in other ways sometimes with truly tragic consequences like the,Galatians 5:25,"If we live in the Spirit, let us also walk in the Spirit.",0.6102299676154902,MAYBE,,0.4
16,-1356741809439321975,The President's Radio Address,William J. Clinton,1994-02-12,days with malice toward none with charity for all he said with firmness in the right as god gives us to see the right let us strive on to finish the work we are in to bind up that nation's wounds to care for him who shall have borne the,Genesis 42:12,"And he said unto them, Nay, but to see the nakedness of the land ye are come.",0.6433546488162515,MAYBE,,0.6
17,-1421376861710243182,The President's Weekly Address,Donald J. Trump (1st Term),2017-03-25,the emptiest regions of the night sky for 10 days during christmas of 1995 hubble stared into the abyss seeking whatever light it could glean from the darkness and it was total darkness fellow astronomers didn't know if he'd see much of anything but williams was rewarded and the entire world was struck by the,Genesis 1:18,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.",0.1824123492991367,MAYBE,,0.7
18,-1421376861710243182,The President's Weekly Address,Donald J. Trump (1st Term),2017-03-25,the emptiest regions of the night sky for 10 days during christmas of 1995 hubble stared into the abyss seeking whatever light it could glean from the darkness and it was total darkness fellow astronomers didn't know if he'd see much of anything but williams was rewarded and the entire world was struck by the,Genesis 1:4,"And God saw the light, that it was good: and God divided the light from the darkness.",0.3379810627744564,MAYBE,,0.4
20,-1614405135192143499,The President's Radio Address,William J. Clinton,2000-10-14,military risk their lives every day in places where comforts are few and dangers are many no one should think for a moment that the strength of our military is less important in times of peace because the strength of our military is a major reason we are at peace history will record our triumphs on the battlefield but no one can ever write a,Psalms 95:4,In his hand are the deep places of the earth: the strength of the hills is his also.,0.13217673059712373,MAYBE,,0.6
