row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
5,-1218177692173877024,The President's Radio Address,William J. Clinton,1995-12-23,democracy and freedom and we should see ourselves as others see us we should finish the job of balancing the budget and reopening the government in the spirit of cooperation and unity so that we can continue to grow and prosper together and be a force in the world for peace and freedom that is the spirit of the season and the spirit of america let each of us resolve to do what we can to be peacemakers let us bring peace to every child who deserves to be free,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.4710653904747363,TRUE,,0.8
7,-1218177692173877024,The President's Radio Address,William J. Clinton,1995-12-23,the birth of a child whose only shelter was the straw of a manger let us remember the words of the prince of peace who said blessed are the peacemakers we ask the blessings of this peace for everyone that is our prayer this christmas thanks for listening note the president spoke at 10:06 a.m,Matthew 5:9,Blessed are the peacemakers: for they shall be called the children of God.,0.2242586796669941,TRUE,,0.9
10,-1312566297056111781,Radio Address to the Nation on Prayer in Schools,Ronald Reagan,1984-02-25,appeals ordered them to stop they were supposedly violating the constitution of the united states teddy roosevelt told us the american people are slow to wrath but when their wrath is once kindled it burns like a consuming flame up to 80 percent of the american people support voluntary prayer they understand what the founding,Psalms 124:3,"Then they had swallowed us up quick, when their wrath was kindled against us:",0.9037829766143801,TRUE,,0.9
22,-1727147997232180001,Radio Address to the Nation on Voluntarism,Ronald Reagan,1986-05-24,he encountered the americans he wrote make associations to found seminaries to build inns to construct churches to diffuse books to send missionaries to the ends of the earth in large part because of this concern for their fellow men that he saw in the american people de tocqueville concluded that america is great because,Job 28:24,"For he looketh to the ends of the earth, and seeth under the whole heaven;",0.132920266403159,TRUE,,0.8
24,-1776086219875675,Radio Address to the Nation on the Observance of Independence Day,Ronald Reagan,1982-07-03,was born our country has been an inspiration for free men and women around the world ever since the scriptures tell us that where the spirit of the lord is there is liberty and for more than two centuries now our blessed land has grown and prospered guided by a deep faith in the almighty and an unquenchable thirst for,2 Corinthians 3:17,"Now the Lord is that Spirit: and where the Spirit of the Lord is, there is liberty.",0.855577481224826,TRUE,,0.9
32,-2390438720646775354,Radio Address to the Nation on the Congressional Agenda and the Economy,Ronald Reagan,1982-11-06,and the return of millions of americans to our country's work force that wonderful old testament book of ecclesiastes teaches us that to everything there is a season well my fellow citizens i've never believed more strongly that america is beginning a season of hope a genuine hope that springs from the vitality of the,Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",0.8900938601425389,TRUE,,0.9
34,-2559035415140295250,The President's Radio Address,George W. Bush,2007-12-22,every one of our citizens who supports our troops with letters and donations or prayers at this time of year we acknowledge that love and sacrifice can transform our world the miracle of christmas reminds us that god's grace is revealed in the humblest places two thousand years ago the fullness of that grace was found in a tiny manger and the life born that day changed our world forever as christmas approaches laura and i extend to all americans,Ephesians 4:7,But unto every one of us is given grace according to the measure of the gift of Christ.,0.8335358748558106,TRUE,,0.9
35,-2559035415140295250,The President's Radio Address,George W. Bush,2007-12-22,letters and donations or prayers at this time of year we acknowledge that love and sacrifice can transform our world the miracle of christmas reminds us that god's grace is revealed in the humblest places two thousand years ago the fullness of that grace was found in a tiny manger and the life born that day changed our world forever as christmas approaches laura and i extend to all americans,John 1:16,"And of his fulness have all we received, and grace for grace.",0.872287268446972,TRUE,,0.95
38,-2712247295680523634,The President's Radio Address,William J. Clinton,1999-03-20,"but surely neighborhoods once abandoned at the crack of gunfire and the wail of ambulance sirens are coming alive with the sounds of children playing freely in the streets this is indeed encouraging news but we must do more in 1997 14,000 people were murdered by guns while the numbers are declining any child caught",Zechariah 8:5,And the streets of the city shall be full of boys and girls playing in the streets thereof.,0.5706204438311387,TRUE,,0.9
40,-2773526507934798896,The President's Radio Address,William J. Clinton,1994-05-14,dr king was killed but here the citizens of indianapolis heeded his call once again it is time for us to heed those words time to build up instead of tear down time to renew our faith in freedom and to refurbish our own democracy during the next few weeks we'll be reminded of moments,Ecclesiastes 3:3,"A time to kill, and a time to heal; a time to break down, and a time to build up;",0.1116393528780563,TRUE,,0.9
44,-283071869598271407,Radio Address to the Nation on Recommendations of the National Bipartisan Commission on Central America,Ronald Reagan,1984-01-14,i believe peace is worth the price there may be an argument for doing much and perhaps an argument for doing nothing but there is no valid argument for doing too little well i opt for doing enough-enough to protect our own security and enough to improve the lives of,Isaiah 48:22,"There is no peace, saith the LORD, unto the wicked.",0.8763739589339615,TRUE,,0.8
46,-2886473941426258505,The President's Radio Address,George W. Bush,2002-12-21,empire yet that single event set the direction of history and still changes millions of lives for over two millennia christmas has carried the message that god is with us and because he is with us we can always live in hope the world we live in is very different from the world of ancient bethlehem our need for that,Psalms 46:11,The LORD of hosts is with us; the God of Jacob is our refuge. Selah.,0.12110226169664089,TRUE,,0.9
47,-2886473941426258505,The President's Radio Address,George W. Bush,2002-12-21,empire yet that single event set the direction of history and still changes millions of lives for over two millennia christmas has carried the message that god is with us and because he is with us we can always live in hope the world we live in is very different from the world of ancient bethlehem our need for that,Psalms 46:7,The LORD of hosts is with us; the God of Jacob is our refuge. Selah.,0.12110226169664089,TRUE,,0.9
50,-2958529002926015536,Radio Address to the Nation on the Strategic Defense Initiative,Ronald Reagan,1985-07-13,lives than to avenge them but another reason equally simple and compelling persuades us to its merit as the book of luke says if a strong man shall keep his court well guarded he shall live in peace well sdi our strategic defense initiative could prove crucial to guarding security,Luke 11:21,"When a strong man armed keepeth his palace, his goods are in peace:",0.8492555765873281,TRUE,,0.9
56,-3479935927145007384,The President's Radio Address,William J. Clinton,1995-03-18,children we'll suspend your license garnish your pay track you down and make you pay eighteen years ago gerri jensen's husband abandoned her and her two young sons she held down several low-paying jobs but eventually was forced to turn to welfare because her exhusband stopped paying child support altogether,Ruth 1:3,"And Elimelech Naomi's husband died; and she was left, and her two sons.",0.1001087140996196,TRUE,,0.8
58,-3676474736492978102,Radio Address to the Nation on Armed Forces Day,Ronald Reagan,1982-05-15,remains at peace our allies enjoy the same benefit our national determination to defend freedom at the borders where it's threatened is fully matched by the quality and spirit of the more than 2 million soldiers sailors airmen and marines who proudly wear the american uniform i received another letter from one of our ambassadors,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.29843775137090395,TRUE,,0.7
80,-512733059281759570,The President's Radio Address,George W. Bush,2005-03-26,especially those who have given their lives in freedom's cause their sacrifice is a testament to the words of scripture greater love has no man than this that a man lay down his life for his friends easter has a special meaning for the families of our men and women in uniform who miss their loved ones during the holidays,John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",0.930931644267586,TRUE,,1.0
86,-558995349109652943,The President's Radio Address,William J. Clinton,1994-05-21,let's work together now to tone down the divisive rhetoric to stop the shouting to starting talking with each other listening to each other and working with our sleeves rolled up and our heads and hearts engaged in the job we can get this done this year we will get it done this year with,1 Corinthians 4:12,"And labour, working with our own hands: being reviled, we bless; being persecuted, we suffer it:",0.5773633038356424,TRUE,,0.7
87,-5623894638555085046,The President's Weekly Address,Donald J. Trump (1st Term),2017-10-06,men and women who risked their lives to save their fellow citizens give proof to the words of this scripture the light shines in the darkness and the darkness has not overcome it americans defied death and hatred with love and courage this week our nation remembers all the wonderful people we have lost and,John 1:5,And the light shineth in darkness; and the darkness comprehended it not.,0.8661363970494719,TRUE,,0.9
94,-5824473967807303095,The President's Weekly Address,Barack Obama,2013-03-30,and spend some quiet moments in prayer and reflection as christians my family and i remember the incredible sacrifice jesus made for each and every one of us how he took on the sins of the world and extended the gift of salvation and we recommit ourselves to following his,Romans 14:12,So then every one of us shall give account of himself to God.,0.6607753750658677,TRUE,,0.8
99,-6248272384591416505,The President's Weekly Address,Barack Obama,2009-11-26,for centuries in peace and in war in prosperity and in adversity americans have paused at this time of year to gather with loved ones and give thanks for life's blessings this week we carry on this distinctly american tradition all across our country folks are coming together to spend time with family to catch up with old friends to cook and enjoy a big dinner and maybe to watch a little football in between as always we give thanks for the kindness of loved ones for the joys of the previous year and for the pride we feel in our communities and country we,1 Thessalonians 5:18,In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,0.6942351338822748,TRUE,,0.9
100,-6248272384591416505,The President's Weekly Address,Barack Obama,2009-11-26,for centuries in peace and in war in prosperity and in adversity americans have paused at this time of year to gather with loved ones and give thanks for life's blessings this week we carry on this distinctly american tradition all across our country folks are coming together to spend time with family to catch up with old friends to cook and enjoy a big dinner and maybe to watch a little football in between as always we give thanks for the kindness of loved ones for the joys of the previous year and for the pride we feel in our communities and country we,Ephesians 1:16,"Cease not to give thanks for you, making mention of you in my prayers;",0.8707902225809165,TRUE,,0.9
101,-6248272384591416505,The President's Weekly Address,Barack Obama,2009-11-26,time with family to catch up with old friends to cook and enjoy a big dinner and maybe to watch a little football in between as always we give thanks for the kindness of loved ones for the joys of the previous year and for the pride we feel in our communities and country we,1 Thessalonians 1:2,"We give thanks to God always for you all, making mention of you in our prayers;",0.6289619888710606,TRUE,,0.8
102,-63082618477504759,The President's Radio Address,William J. Clinton,2000-04-22,appropriate that earth day falls in this season of renewal and hope as millions of americans celebrate easter and passover as we celebrate the first earth day of the 21st century i want to challenge all of us to renew our commitment to protect and preserve god's precious gift to us our earthly home last,Numbers 28:16,And in the fourteenth day of the first month is the passover of the LORD.,0.7041319590383927,TRUE,,0.9
113,-6891455122962137120,The President's Radio Address,William J. Clinton,1993-12-25,"all we have to be thankful for for this holiday season is a time to remember what we value and what gives our lives meaning today christians celebrate god's love for humanity made real in the birth of christ in a manger almost 2,000 years ago the humble circumstances of his birth the example of his life the power of his teachings inspire us to love and to care for our fellow men and women on this day we should be especially grateful that here in america we all have the freedom to worship god",Colossians 1:4,"Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,",0.9197092933107073,TRUE,,0.9
115,-6891455122962137120,The President's Radio Address,William J. Clinton,1993-12-25,love and to care for our fellow men and women on this day we should be especially grateful that here in america we all have the freedom to worship god in our own way for our faith is purest when it is the offering of a free and joyous spirit we are a nation of,Acts 18:13,"Saying, This fellow persuadeth men to worship God contrary to the law.",0.9205912033857985,TRUE,,0.9
119,-6891455122962137120,The President's Radio Address,William J. Clinton,1993-12-25,gets our hearts remain warm as we rejoice in the best of what life can be we ask ourselves how we can act in the spirit of the season not just on this day but on every day as we look into the eyes of our children filled with life,Ephesians 4:23,And be renewed in the spirit of your mind;,0.28373147074067323,TRUE,,0.8
121,-6926204947799493300,The President's Radio Address,George W. Bush,2003-08-02,be satisfied until every american looking for work can find a job by steady persistent action we are preparing the way for vigorous growth and more jobs i have confidence in our economic future because i have confidence in the people whose effort and creativity make this economy run the workers and the entrepreneurs of america thank you for listening note the address was recorded,2 Corinthians 7:16,I rejoice therefore that I have confidence in you in all things.,0.3569947022799224,TRUE,,0.8
122,-6943607799751813901,Radio Address to the Nation on Memorial Day and the Budget Deficit,Ronald Reagan,1987-05-23,as lincoln noted long ago at such moments there really are no words-the deeds of our heroes are their own best testimony to their love for our nation and for our people we can take some comfort though in knowing that the stark's mission was a vital one for us as a free people since,Luke 7:5,"For he loveth our nation, and he hath built us a synagogue.",0.565648503599144,TRUE,,0.9
127,-712771606436665932,Radio Address to the Nation on Prayer,Ronald Reagan,1982-09-18,prayers on their lips and faith in their hearts it's because of this shared faith that we've become in the words of the pledge of allegiance one nation under god indivisible with liberty and justice for all at every crucial turning point in our history americans have faced and overcome great odds strengthened by spiritual faith the plymouth settlers triumphed over hunger disease and a cruel northern wilderness because in the words of william bradford they knew they were pilgrims so they committed themselves to the will of god and resolved to proceed george washington knelt in prayer at valley forge and in the darkest days of our struggle for independence said that the fate of unborn millions will now depend under god on the courage and conduct of this army thomas jefferson perhaps the wisest of our founding fathers had no doubt about the source from which our cause was derived the god who gave us life he declared gave us liberty and nearly a century later in the midst of a tragic and at times seemingly hopeless civil war abraham lincoln vowed that this nation under god shall have a new birth of freedom it's said that prayer can move mountains well it's certainly moved the hearts and minds of americans in their,2 Samuel 10:12,"Be of good courage, and let us play the men for our people, and for the cities of our God: and the LORD do that which seemeth him good.",0.7556643542959534,TRUE,,0.9
