row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
0,-103498696258213887,Annual Message to the Congress on the State of the Union,Harry S Truman,1950-01-04,natural resources we have given a greater assurance of stability to the farmer and we have improved the organization and efficiency of our government today by the grace of god we stand a free and prosperous nation with greater possibilities for the future than any people ever had before in the history of the world,1 Corinthians 16:23,The grace of our Lord Jesus Christ be with you.,0.18859173979065003,MAYBE,,0.4
2,-103498696258213887,Annual Message to the Congress on the State of the Union,Harry S Truman,1950-01-04,them foolishly they may destroy him man must create the moral and legal framework for the world which will insure that his new powers are used for good and not for evil in shaping the outcome the people of the united states will play a leading role among all the great changes that have occurred,Proverbs 31:12,She will do him good and not evil all the days of her life.,0.7171483431233201,MAYBE,,0.6
3,-103498696258213887,Annual Message to the Congress on the State of the Union,Harry S Truman,1950-01-04,take risks this is not the meaning of our past history or our present course we work for a better life for all so that all men may put to good use the great gifts with which they have been endowed by their creator we seek to establish those material conditions of life in which,1 Peter 2:15,"For so is the will of God, that with well doing ye may put to silence the ignorance of foolish men:",0.17643519433344415,MAYBE,,0.4
7,-1106443506247813947,The State of the Union Address Delivered Before a Joint Session of the Congress.,Jimmy Carter,1979-01-23,for peace i am determined as president to use the full beneficial influence of our country so that the precious opportunity for lasting peace between israel and egypt will not be lost the new foundation of international cooperation that we seek excludes no nation cooperation with the soviet union serves the cause of peace for,Exodus 3:19,"And I am sure that the king of Egypt will not let you go, no, not by a mighty hand.",0.18089849303343303,MAYBE,,0.6
10,-1371065667482953494,Address Before a Joint Session of the Congress on the State of the Union,Barack Obama,2011-01-25,bring our troops home in pakistan al qaida's leadership is under more pressure than at any point since 2001 their leaders and operatives are being removed from the battlefield their safe havens are shrinking and we've sent a message from the afghan border to the arabian peninsula to all parts of the globe we will,Numbers 33:16,"And they removed from the desert of Sinai, and pitched at Kibrothhattaavah.",0.12070403661262126,MAYBE,,0.6
14,-1426579982977359191,Annual Message to the Congress on the State of the Union,Lyndon B. Johnson,1965-01-04,own independence and to work most closely with those governments dedicated to the welfare of all of their people we seek not fidelity to an iron faith but a diversity of belief as varied as man himself we seek not to extend the power of america but the progress of humanity we seek not to dominate others but to strengthen the freedom of all people i will seek new ways,1 Corinthians 2:5,"That your faith should not stand in the wisdom of men, but in the power of God.",0.5297376880509492,MAYBE,,0.6
15,-1426579982977359191,Annual Message to the Congress on the State of the Union,Lyndon B. Johnson,1965-01-04,to extend the power of america but the progress of humanity we seek not to dominate others but to strengthen the freedom of all people i will seek new ways to use our knowledge to help deal with the explosion in world population and the growing scarcity in world resources finally we renew our commitment,Psalms 122:9,Because of the house of the LORD our God I will seek thy good.,0.4192552793129984,MAYBE,,0.4
18,-1877492026569442554,Annual Message to the Congress on the State of the Union,Harry S Truman,1952-01-09,the picture taking the good and bad together we have made real progress this last year along the road to peace we have increased the power and unity of the free world and while we were doing this we have avoided world war on the one hand and appeasement on the other this is a,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.7873417400893646,MAYBE,,0.6
21,-3248962445088414904,Annual Message to the Congress on the State of the Union,Harry S Truman,1947-01-06,world history if we maintain and strengthen our cherished ideals and if we share our great bounty with war-stricken people over the world then the faith of our citizens in freedom and democracy will be spread over the whole earth and free men everywhere will share our devotion to those ideals let us have the will and the patience to this job together may the lord strengthen us in our faith may he give us wisdom to lead the peoples of the world in his ways of peace as delivered in person before a joint session app note this address,1 Corinthians 2:5,"That your faith should not stand in the wisdom of men, but in the power of God.",0.43255237921807993,MAYBE,,0.4
22,-3248962445088414904,Annual Message to the Congress on the State of the Union,Harry S Truman,1947-01-06,world history if we maintain and strengthen our cherished ideals and if we share our great bounty with war-stricken people over the world then the faith of our citizens in freedom and democracy will be spread over the whole earth and free men everywhere will share our devotion to those ideals let us have the will and the patience to this job together may the lord strengthen us in our faith may he give us wisdom to lead the peoples of the world in his ways of peace as delivered in person before a joint session app note this address,1 Timothy 3:9,Holding the mystery of the faith in a pure conscience.,0.11186857801190332,MAYBE,,0.3
25,-3333761252975962635,Address Before a Joint Session of the Congress on the State of the Union,George W. Bush,2006-01-31,will allowing the violent to inherit the earth but they have miscalculated we love our freedom and we will fight to keep it in a time of testing we cannot find security by abandoning our commitments and retreating within our borders if we were to leave these vicious attackers alone,Ecclesiastes 3:8,"A time to love, and a time to hate; a time of war, and a time of peace.",0.13558999385866152,MAYBE,,0.6
27,-3566880365189722423,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1967-01-10,the many as well as the few now we must answer whether our gains shall be the foundations of further progress or whether they shall be only monuments to what might have been-abandoned now by a people who lacked the will to see their great work through i believe that,Jeremiah 32:38,"And they shall be my people, and I will be their God:",0.3101340606866111,MAYBE,,0.4
31,-3566880365189722423,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1967-01-10,the independent nations of asia and the pacific i saw it in their faces in the 19 days that i spent in their homes and in their countries fear of external communist conquest in many asian nations is already subsiding--and with this the spirit of hope is rising for the first time in history a,Genesis 10:20,"These are the sons of Ham, after their families, after their tongues, in their countries, and in their nations.",0.2242569414009812,MAYBE,,0.6
32,-3566880365189722423,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1967-01-10,over with is inviting but dangerous whether we can accept the necessity of choosing a great evil in order to ward off a greater whether we can do these without arousing the hatreds and the passions that are ordinarily loosed in time of war--on all these questions so much turns the answers will determine not,2 Corinthians 13:8,"For we can do nothing against the truth, but for the truth.",0.17528198876750928,MAYBE,,0.7
35,-3591820317898515562,Address Before a Joint Session of the Congress on the State of the Union,George Bush,1990-01-31,your lives freely let me add that private markwell was among the first to see battle in panama and one of the first to fall but he knew what he believed in he carried the idea we call america in his heart i began tonight speaking about the changes we've seen this past year there,John 6:6,And this he said to prove him: for he himself knew what he would do.,0.12336470463573443,MAYBE,,0.6
36,-3629932554163349680,Address Before a Joint Session of the Congress on the State of the Union,"Joseph R. Biden, Jr.",2022-03-01,of the world stronger while it shouldn't have taken something so terrible for people around the world to see what's at stake now everyone sees it clearly we see the unity among leaders of nations a more unified europe a more unified west we see unity among the people who are gathering in cities in large crowds around the world even in russia to demonstrate their support for the people of ukraine in the battle between democracy and autocracies democracies are rising to the moment,John 17:16,"They are not of the world, even as I am not of the world.",0.16442849601322662,MAYBE,,0.4
39,-3680373360208972066,Address on the State of the Union Delivered Before a Joint Session of the Congress,Richard Nixon,1974-01-30,these negotiations can usher in a new era of international trade that not only increases the prosperity of all nations but also strengthens the peace among all nations in the past 5 years we have made more progress toward a lasting structure of peace in the world than in any comparable time in the nation's,Mark 13:10,And the gospel must first be published among all nations.,0.10699848996060464,MAYBE,,0.4
41,-3864256694995932682,The State of the Union Address Delivered Before a Joint Session of the Congress.,Jimmy Carter,1980-01-23,the weeks ahead we will further strengthen political and military ties with other nations in the region we believe that there are no irreconcilable differences between us and any islamic nation we respect the faith of islam and we are ready to cooperate with all moslem countries finally we are prepared to work with other,Acts 15:9,"And put no difference between us and them, purifying their hearts by faith.",0.3835817601647482,MAYBE,,0.6
42,-3864256694995932682,The State of the Union Address Delivered Before a Joint Session of the Congress.,Jimmy Carter,1980-01-23,unify our people together as one people let us work to build our strength at home and together as one indivisible union let us seek peace and security throughout the world together let us make of this time of challenge and danger a decade of national resolve and of brave,1 Peter 3:11,"Let him eschew evil, and do good; let him seek peace, and ensue it.",0.8677508263802168,MAYBE,,0.6
48,-4013188971561625513,Annual Message to the Congress on the State of the Union,Dwight D. Eisenhower,1953-02-02,can expect to win in this spirit must we live and labor confident of our strength compassionate in our heart clear in our mind in this spirit let us together turn to the great tasks before us dwight d eisenhower delivered in person before a joint session dwight d eisenhower annual message to the congress,Galatians 5:25,"If we live in the Spirit, let us also walk in the Spirit.",0.9334260681564632,MAYBE,,0.6
50,-4373343841879046094,Annual Message to Congress,Franklin D. Roosevelt,1936-01-03,a half of human beings in the world must and shall learn from and be subject to them i recognize and you will recognize that these words which i have chosen with deliberation will not prove popular in any nation that chooses to fit this shoe to its foot such sentiments however will find sympathy,Job 15:17,"I will shew thee, hear me; and that which I have seen I will declare;",0.40722416057819066,MAYBE,,0.7
53,-4373343841879046094,Annual Message to Congress,Franklin D. Roosevelt,1936-01-03,positive and not negative the way is open in the congress of the united states for an expression of opinion by yeas and nays shall we say that values are restored and that the congress will therefore repeal the laws under which we have been bringing them back shall we say that because national income has grown with rising prosperity we shall repeal existing taxes and thereby put off the day of approaching a balanced budget and of starting to reduce the national debt shall we abandon the reasonable support and regulation of banking shall we restore the dollar to its former gold content shall we say to the farmer the prices for your products are in part restored now go and hoe your own row shall we say to the home owners we have reduced your rates of interest we have no further concern with how you keep your home or what you pay for your money that is your affair shall we say to the several millions of unemployed citizens who face the very problem of existence of getting enough to eat we will withdraw from giving you,Ezra 9:10,"And now, O our God, what shall we say after this? for we have forsaken thy commandments,",0.14522045600234315,MAYBE,,0.6
54,-4373343841879046094,Annual Message to Congress,Franklin D. Roosevelt,1936-01-03,positive and not negative the way is open in the congress of the united states for an expression of opinion by yeas and nays shall we say that values are restored and that the congress will therefore repeal the laws under which we have been bringing them back shall we say that because national income has grown with rising prosperity we shall repeal existing taxes and thereby put off the day of approaching a balanced budget and of starting to reduce the national debt shall we abandon the reasonable support and regulation of banking shall we restore the dollar to its former gold content shall we say to the farmer the prices for your products are in part restored now go and hoe your own row shall we say to the home owners we have reduced your rates of interest we have no further concern with how you keep your home or what you pay for your money that is your affair shall we say to the several millions of unemployed citizens who face the very problem of existence of getting enough to eat we will withdraw from giving you,Romans 6:1,"What shall we say then? Shall we continue in sin, that grace may abound?",0.1440447896475754,MAYBE,,0.4
57,-4794252027621852938,Address Before a Joint Session of the Congress on the State of the Union,William J. Clinton,2000-01-27,for working families and still offer tax cuts to help pay for college for retirement to care for aging parents to reduce the marriage penalty we can do these things without forsaking the path of fiscal discipline that got us to this point here tonight indeed we must make these investments and these tax cuts,2 Corinthians 13:8,"For we can do nothing against the truth, but for the truth.",0.21068356126716697,MAYBE,,0.4
59,-4794252027621852938,Address Before a Joint Session of the Congress on the State of the Union,William J. Clinton,2000-01-27,and threaten our common humanity we can't prevent every conflict or stop every outrage but where our interests are at stake and we can make a difference we should be and we must be peacemakers we should be proud of our role in bringing the middle east closer to a lasting peace building peace in northern ireland working for peace in east timor and africa promoting reconciliation between greece and turkey and in cyprus working to defuse these crises between india and pakistan in defending human rights and religious freedom and we should be proud of the men and women of our armed forces and those of our allies who stopped the ethnic cleansing in kosovo enabling a million people,Luke 1:71,"That we should be saved from our enemies, and from the hand of all that hate us;",0.20672472895667804,MAYBE,,0.6
61,-4794252027621852938,Address Before a Joint Session of the Congress on the State of the Union,William J. Clinton,2000-01-27,look back and see the great expanse of american achievement and before us we can see even greater grander frontiers of possibility we should all of us be filled with gratitude and humility for our present progress and prosperity we should be filled with awe and joy at what lies over the horizon and we should be filled with absolute determination to make the most of it you know when the framers finished crafting our constitution in philadelphia benjamin franklin stood in independence hall and,Numbers 14:21,"But as truly as I live, all the earth shall be filled with the glory of the LORD.",0.47942288260822696,MAYBE,,0.6
62,-4794252027621852938,Address Before a Joint Session of the Congress on the State of the Union,William J. Clinton,2000-01-27,look back and see the great expanse of american achievement and before us we can see even greater grander frontiers of possibility we should all of us be filled with gratitude and humility for our present progress and prosperity we should be filled with awe and joy at what lies over the horizon and we should be filled with absolute determination to make the most of it you know when the framers finished crafting our constitution in philadelphia benjamin franklin stood in independence hall and,Psalms 71:8,Let my mouth be filled with thy praise and with thy honour all the day.,0.19871651496262455,MAYBE,,0.7
64,-548602056222954330,Address Before a Joint Session of the Congress on the State of the Union,"Joseph R. Biden, Jr.",2024-03-07,and 250 hostages taken here in this chamber tonight are families whose loved ones are still being held by hamas i pledge to all the families that we will not rest until we bring every one of your loved ones home we also-we will also work around the clock to,Zechariah 12:14,"All the families that remain, every family apart, and their wives apart.",0.19290819536296444,MAYBE,,0.6
70,-638020321558440982,Annual Message to Congress,Franklin D. Roosevelt,1938-01-03,endeavor fails to provide work for willing hands and relief for the unfortunate those suffering hardship from no fault of their own have a right to call upon the government for aid and a government worthy of its name must make fitting response it is the opportunity and the duty of all those who have,Romans 10:13,For whosoever shall call upon the name of the Lord shall be saved.,0.15915356676248124,MAYBE,,0.6
72,-6427642774199075490,Annual Message to the Congress on the State of the Union.,Richard Nixon,1970-01-22,but for the whole human race we had a spiritual quality then which caught the imagination of millions of people in the world today when we are the richest and strongest nation in the world let it not be recorded that we lack the moral and spiritual idealism which made,1 Corinthians 11:32,"But when we are judged, we are chastened of the Lord, that we should not be condemned with the world.",0.13675180605154455,MAYBE,,0.4
73,-656352507836294910,Address Before a Joint Session of the Congress on the State of the Union,Ronald Reagan,1985-02-06,new challenge-a second american revolution of hope and opportunity a revolution carrying us to new heights of progress by pushing back frontiers of knowledge and space a revolution of spirit that taps the soul of america enabling us to summon greater strength than we've ever known and a revolution that carries beyond our shores the golden promise of human freedom in a world of peace let us begin by challenging our conventional wisdom there are no constraints on the human mind no walls around the human spirit no barriers to our progress except those we ourselves erect already pushing down tax rates has freed our economy to vault forward to record growth in europe they're,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.17091267861905,MAYBE,,0.6
75,-6863291922861784488,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1968-01-17,consumer-conscious congress so let us get on with the work let us act soon we at every level of the government state local federal know that the american people have had enough of rising crime and lawlessness in this country they recognize that law enforcement is first the duty of,1 Timothy 1:8,"But we know that the law is good, if a man use it lawfully;",0.3375244375267379,MAYBE,,0.4
