row_index,doc_id,title,president,date,snippet_norm,verse_range,verse_text,match_proba,judgement,reason,confidence
1,-103498696258213887,Annual Message to the Congress on the State of the Union,Harry S Truman,1950-01-04,natural resources we have given a greater assurance of stability to the farmer and we have improved the organization and efficiency of our government today by the grace of god we stand a free and prosperous nation with greater possibilities for the future than any people ever had before in the history of the world,John 1:16,"And of his fulness have all we received, and grace for grace.",0.7624857581421702,TRUE,,0.9
4,-103498696258213887,Annual Message to the Congress on the State of the Union,Harry S Truman,1950-01-04,take risks this is not the meaning of our past history or our present course we work for a better life for all so that all men may put to good use the great gifts with which they have been endowed by their creator we seek to establish those material conditions of life in which,Job 37:7,He sealeth up the hand of every man; that all men may know his work.,0.7137973054139408,TRUE,,0.8
8,-1106443506247813947,The State of the Union Address Delivered Before a Joint Session of the Congress.,Jimmy Carter,1979-01-23,our nation's faith-not focused just against foreign threats but against the threats of selfishness cynicism and apathy the new foundation i've discussed tonight can help us build a nation and a world where every child is nurtured and can look to the future with hope where the resources now wasted on war can be turned towards meeting human needs where all people have enough to eat a decent home and protection against disease it can help us build a nation and a world where all people are free to seek the truth and to add to human understanding so that all of us may live,Jeremiah 18:9,"And at what instant I shall speak concerning a nation, and concerning a kingdom, to build and to plant it;",0.7778298157738955,TRUE,,0.9
11,-1371065667482953494,Address Before a Joint Session of the Congress on the State of the Union,Barack Obama,2011-01-25,not relent we will not waver and we will defeat you american leadership can also be seen in the effort to secure the worst weapons of war because republicans and democrats approved the new start treaty far fewer nuclear weapons and launchers will be deployed because we rallied the world,2 Samuel 1:27,"How are the mighty fallen, and the weapons of war perished!",0.12442544125531965,TRUE,,0.8
13,-1426579982977359191,Annual Message to the Congress on the State of the Union,Lyndon B. Johnson,1965-01-04,people that is unmatched in the history of freedom and so tonight now in 1965 we begin a new quest for union we seek the unity of man with the world that he has built--with the knowledge that can save or destroy him--with the cities which can stimulate or stifle him--with the wealth and the machines which can enrich or menace his spirit we seek to establish a harmony between man and society which will allow each of us to enlarge the meaning of his life and all of us,Ephesians 4:3,Endeavouring to keep the unity of the Spirit in the bond of peace.,0.7468635006026245,TRUE,,0.8
16,-1426579982977359191,Annual Message to the Congress on the State of the Union,Lyndon B. Johnson,1965-01-04,help guide a great democracy the answer was waiting for me in the land where i was born it was once barren land the angular hills were covered with scrub cedar and a few large live oaks little would grow in that harsh caliche soil of my country and each spring the pedernales river would,Psalms 80:10,"The hills were covered with the shadow of it, and the boughs thereof were like the goodly cedars.",0.8071341951223511,TRUE,,0.9
17,-1426579982977359191,Annual Message to the Congress on the State of the Union,Lyndon B. Johnson,1965-01-04,for a more perfect union this then is the state of the union free and restless growing and full of hope so it was in the beginning so it shall always be while god is willing and we are strong enough to keep the faith as delivered in person before,John 1:2,The same was in the beginning with God.,0.9472979284975382,TRUE,,0.8
26,-3333761252975962635,Address Before a Joint Session of the Congress on the State of the Union,George W. Bush,2006-01-31,borders if we were to leave these vicious attackers alone they would not leave us alone they would simply move the battlefield to our own shores there is no peace in retreat and there is no honor in retreat by allowing radical islam to work its will by leaving an assaulted world to fend for,Isaiah 57:21,"There is no peace, saith my God, to the wicked.",0.7973115436921647,TRUE,,0.9
29,-3566880365189722423,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1967-01-10,cooperation and harmony between races and to help those who demand change but reject the fool's gold of violence in the middle east the spirit of good will toward all unfortunately has not yet taken hold an already tortured peace seems to be constantly threatened we shall try to use our influence to increase the,Luke 2:14,"Glory to God in the highest, and on earth peace, good will toward men.",0.32908840236077436,TRUE,,0.8
33,-3566880365189722423,Annual Message to the Congress on the State of the Union.,Lyndon B. Johnson,1967-01-10,have lived with danger for a long time before and we shall live with it for a long time yet to come we know that man is born unto trouble we also know that this nation was not forged and did not survive and grow and prosper without a great deal of sacrifice from a,Job 5:7,"Yet man is born unto trouble, as the sparks fly upward.",0.713305877788873,TRUE,,0.9
