verse_range,verse_text,quote_count
Luke 2:14,"Glory to God in the highest, and on earth peace, good will toward men.",29
Matthew 5:9,Blessed are the peacemakers: for they shall be called the children of God.,27
Mark 3:25,"And if a house be divided against itself, that house cannot stand.",26
John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",25
Matthew 22:39,"And the second is like unto it, Thou shalt love thy neighbour as thyself.",21
Psalms 30:5,"For his anger endureth but a moment; in his favour is life: weeping may endure for a night, but joy cometh in the morning.",19
Isaiah 40:31,"But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",18
John 8:32,"And ye shall know the truth, and the truth shall make you free.",18
Hebrews 11:1,"Now faith is the substance of things hoped for, the evidence of things not seen.",17
1 Corinthians 13:13,"And now abideth faith, hope, charity, these three; but the greatest of these is charity.",15
Proverbs 29:18,"Where there is no vision, the people perish: but he that keepeth the law, happy is he.",15
Galatians 6:9,"And let us not be weary in well doing: for in due season we shall reap, if we faint not.",14
2 Timothy 4:7,"I have fought a good fight, I have finished my course, I have kept the faith:",14
Amos 5:24,"But let judgment run down as waters, and righteousness as a mighty stream.",13
Matthew 19:19,"Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself.",13
Matthew 22:37,"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind.",11
2 Chronicles 7:14,"If my people, which are called by my name, shall humble themselves, and pray, and seek my face, and turn from their wicked ways; then will I hear from heaven, and will forgive their sin, and will heal their land.",11
Isaiah 2:4,"And he shall judge among the nations, and shall rebuke many people: and they shall beat their swords into plowshares, and their spears into pruninghooks: nation shall not lift up sword against nation, neither shall they learn war any more.",10
Romans 12:21,"Be not overcome of evil, but overcome evil with good.",10
Ecclesiastes 3:1,"To every thing there is a season, and a time to every purpose under the heaven:",9
