president,proclamations_documents,spoken_documents,proclamations_words,spoken_words,total_documents,total_words
Franklin D. Roosevelt,322,760,225725,1113454,1082,1339179
Herbert Hoover,4,111,2599,191260,115,193859
Alf Landon,0,1,0,4086,1,4086
Wendell Willkie,0,2,0,8633,2,8633
Thomas Dewey,0,3,0,3871,3,3871
Harry S Truman,329,981,182180,2014247,1310,2196427
Adlai Stevenson,0,4,0,5860,4,5860
Dwight D. Eisenhower,375,953,193056,1713831,1328,1906887
John F. Kennedy,167,796,86603,1067273,963,1153876
Richard Nixon,412,1075,170835,1953659,1487,2124494
Lyndon B. Johnson,331,1685,156898,2683797,2016,2840695
Barry Goldwater,0,2,0,5503,2,5503
Ronald Reagan,1112,2993,488045,5017627,4105,5505672
Hubert H. Humphrey,0,2,0,4423,2,4423
George McGovern,0,2,0,3382,2,3382
Gerald R. Ford,172,1259,73615,2005284,1431,2078899
Jimmy Carter,329,1473,156083,3305797,1802,3461880
Walter F. Mondale,0,2,0,3162,2,3162
George Bush,585,2028,345615,3776743,2613,4122358
Michael S. Dukakis,0,2,0,4566,2,4566
William J. Clinton,872,5263,496365,11595785,6135,12092150
Robert Dole,0,2,0,6879,2,6879
"Albert Gore, Jr.",0,1,0,1074,1,1074
George W. Bush,936,4323,483530,8877202,5259,9360732
Barack Obama,1225,3831,764881,8962756,5056,9727637
John F. Kerry,0,2,0,6886,2,6886
John McCain,0,2,0,9935,2,9935
Mitt Romney,0,2,0,4827,2,4827
Donald J. Trump (1st Term),567,1795,415474,6389046,2362,6804520
Hillary Clinton,0,2,0,7548,2,7548
"Joseph R. Biden, Jr.",738,1642,637894,3492032,2380,4129926
Kamala Harris,0,12,0,6361,12,6361
U.S. Congress,0,2,0,3611,2,3611
